% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.54737250(0.00000177)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  1.9509889  0.0000816
 0.530  1.7969612  0.0000715
 0.550  1.6568255  0.0000628
 0.570  1.5293090  0.0000564
 0.590  1.4134004  0.0000504
 0.610  1.3079760  0.0000455
 0.630  1.2121740  0.0000422
 0.650  1.1250649  0.0000381
 0.670  1.0459427  0.0000360
 0.690  0.9740367  0.0000339
 0.710  0.9086964  0.0000318
 0.730  0.8493531  0.0000306
 0.750  0.7955387  0.0000289
 0.770  0.7466622  0.0000281
 0.790  0.7023297  0.0000274
 0.810  0.6621339  0.0000259
 0.830  0.6257038  0.0000253
 0.850  0.5927855  0.0000251
 0.870  0.5630015  0.0000240
 0.890  0.5361473  0.0000238
 0.910  0.5119747  0.0000229
 0.930  0.4903447  0.0000224
 0.950  0.4709326  0.0000219
 0.970  0.4536566  0.0000216
 0.990  0.4383623  0.0000214
 1.010  0.4249726  0.0000211
 1.030  0.4133271  0.0000211
 1.050  0.4033175  0.0000204
 1.070  0.3949118  0.0000205
 1.090  0.3880303  0.0000203
 1.110  0.3826218  0.0000198
 1.130  0.3786605  0.0000198
 1.150  0.3761315  0.0000201
 1.170  0.3750151  0.0000201
 1.190  0.3753341  0.0000196
 1.210  0.3770770  0.0000200
 1.230  0.3803043  0.0000199
 1.250  0.3850507  0.0000202
 1.270  0.3913850  0.0000208
 1.290  0.3993414  0.0000209
 1.310  0.4090510  0.0000210
 1.330  0.4205481  0.0000216
 1.350  0.4339515  0.0000221
 1.370  0.4493212  0.0000227
 1.390  0.4666591  0.0000232
 1.410  0.4859014  0.0000239
 1.430  0.5068740  0.0000247
 1.450  0.5292940  0.0000252
 1.470  0.5529546  0.0000261
 1.490  0.5775641  0.0000274
 1.510  0.6018262  0.0000288
 1.530  0.6215063  0.0000295
 1.550  0.6362009  0.0000296
 1.570  0.6465935  0.0000302
 1.590  0.6532838  0.0000298
 1.610  0.6568794  0.0000297
 1.630  0.6577877  0.0000290
 1.650  0.6564858  0.0000291
 1.670  0.6533579  0.0000282
 1.690  0.6487630  0.0000288
 1.710  0.6429693  0.0000280
 1.730  0.6362364  0.0000272
 1.750  0.6288324  0.0000274
 1.770  0.6209318  0.0000272
 1.790  0.6127033  0.0000264
 1.810  0.6043333  0.0000261
 1.830  0.5958945  0.0000262
 1.850  0.5875409  0.0000252
 1.870  0.5793033  0.0000251
 1.890  0.5713638  0.0000250
 1.910  0.5636777  0.0000251
 1.930  0.5563854  0.0000244
 1.950  0.5494706  0.0000241
 1.970  0.5430189  0.0000241
 1.990  0.5370280  0.0000241
 2.010  0.5315512  0.0000240
 2.030  0.5266405  0.0000236
 2.050  0.5221895  0.0000235
 2.070  0.5183336  0.0000239
 2.090  0.5150244  0.0000236
 2.110  0.5123247  0.0000236
 2.130  0.5101335  0.0000236
 2.150  0.5085189  0.0000228
 2.170  0.5074769  0.0000234
 2.190  0.5069764  0.0000230
 2.210  0.5070339  0.0000235
 2.230  0.5076018  0.0000233
 2.250  0.5086779  0.0000234
 2.270  0.5102458  0.0000238
 2.290  0.5122901  0.0000238
 2.310  0.5147182  0.0000236
 2.330  0.5175198  0.0000237
 2.350  0.5207264  0.0000241
 2.370  0.5241868  0.0000247
 2.390  0.5278718  0.0000239
 2.410  0.5317143  0.0000250
 2.430  0.5356780  0.0000248
 2.450  0.5396443  0.0000255
 2.470  0.5435834  0.0000255
 2.490  0.5473673  0.0000251
 2.510  0.5509586  0.0000252
 2.530  0.5542424  0.0000257
 2.550  0.5572338  0.0000254
 2.570  0.5598322  0.0000255
 2.590  0.5620417  0.0000254
 2.610  0.5638226  0.0000256
 2.630  0.5652186  0.0000256
 2.650  0.5662167  0.0000256
 2.670  0.5668543  0.0000260
 2.690  0.5671174  0.0000255
 2.710  0.5670244  0.0000258
