% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.75054299(0.00000306)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  4.6143129  0.0002279
 0.530  3.9234880  0.0001767
 0.550  3.3460584  0.0001417
 0.570  2.8629162  0.0001190
 0.590  2.4580002  0.0001008
 0.610  2.1180064  0.0000866
 0.630  1.8322161  0.0000805
 0.650  1.5915280  0.0000746
 0.670  1.3885278  0.0000682
 0.690  1.2169994  0.0000657
 0.710  1.0718423  0.0000614
 0.730  0.9487341  0.0000581
 0.750  0.8442476  0.0000560
 0.770  0.7554538  0.0000529
 0.790  0.6798796  0.0000520
 0.810  0.6155189  0.0000493
 0.830  0.5607089  0.0000458
 0.850  0.5140389  0.0000453
 0.870  0.4743454  0.0000430
 0.890  0.4407258  0.0000425
 0.910  0.4123178  0.0000407
 0.930  0.3885200  0.0000404
 0.950  0.3688011  0.0000394
 0.970  0.3527117  0.0000381
 0.990  0.3398599  0.0000376
 1.010  0.3300786  0.0000370
 1.030  0.3231189  0.0000367
 1.050  0.3188159  0.0000367
 1.070  0.3171822  0.0000365
 1.090  0.3182020  0.0000365
 1.110  0.3218368  0.0000373
 1.130  0.3283230  0.0000371
 1.150  0.3377242  0.0000378
 1.170  0.3503607  0.0000393
 1.190  0.3665090  0.0000396
 1.210  0.3865268  0.0000410
 1.230  0.4110076  0.0000424
 1.250  0.4403478  0.0000430
 1.270  0.4752818  0.0000446
 1.290  0.5164807  0.0000465
 1.310  0.5646690  0.0000496
 1.330  0.6204255  0.0000527
 1.350  0.6841623  0.0000569
 1.370  0.7558268  0.0000602
 1.390  0.8339228  0.0000650
 1.410  0.9151659  0.0000680
 1.430  0.9954539  0.0000748
 1.450  1.0705754  0.0000775
 1.470  1.1375955  0.0000786
 1.490  1.1943104  0.0000803
 1.510  1.2358052  0.0000796
 1.530  1.2495271  0.0000777
 1.550  1.2397364  0.0000773
 1.570  1.2136738  0.0000724
 1.590  1.1765019  0.0000717
 1.610  1.1324959  0.0000691
 1.630  1.0846296  0.0000667
 1.650  1.0351299  0.0000641
 1.670  0.9858085  0.0000606
 1.690  0.9377033  0.0000613
 1.710  0.8916157  0.0000583
 1.730  0.8481794  0.0000566
 1.750  0.8076520  0.0000566
 1.770  0.7701736  0.0000546
 1.790  0.7360188  0.0000528
 1.810  0.7049880  0.0000525
 1.830  0.6771506  0.0000506
 1.850  0.6523802  0.0000506
 1.870  0.6305333  0.0000500
 1.890  0.6116364  0.0000507
 1.910  0.5954506  0.0000486
 1.930  0.5819976  0.0000491
 1.950  0.5710830  0.0000487
 1.970  0.5626663  0.0000471
 1.990  0.5566644  0.0000479
 2.010  0.5530123  0.0000474
 2.030  0.5517290  0.0000474
 2.050  0.5526987  0.0000475
 2.070  0.5559967  0.0000474
 2.090  0.5615008  0.0000479
 2.110  0.5692148  0.0000475
 2.130  0.5791482  0.0000496
 2.150  0.5912988  0.0000491
 2.170  0.6055181  0.0000505
 2.190  0.6218032  0.0000503
 2.210  0.6400287  0.0000517
 2.230  0.6600725  0.0000527
 2.250  0.6815860  0.0000538
 2.270  0.7044716  0.0000544
 2.290  0.7281821  0.0000556
 2.310  0.7523936  0.0000564
 2.330  0.7764496  0.0000587
 2.350  0.7999756  0.0000605
 2.370  0.8223604  0.0000606
 2.390  0.8428740  0.0000616
 2.410  0.8611207  0.0000630
 2.430  0.8765992  0.0000632
 2.450  0.8888272  0.0000644
 2.470  0.8976310  0.0000638
 2.490  0.9027837  0.0000633
 2.510  0.9043567  0.0000619
 2.530  0.9024244  0.0000618
 2.550  0.8972413  0.0000613
 2.570  0.8892161  0.0000616
 2.590  0.8788556  0.0000598
 2.610  0.8665054  0.0000591
 2.630  0.8528088  0.0000592
 2.650  0.8380922  0.0000583
 2.670  0.8228333  0.0000568
 2.690  0.8072840  0.0000573
 2.710  0.7918697  0.0000554
 2.730  0.7767265  0.0000544
 2.750  0.7620970  0.0000546
 2.770  0.7482621  0.0000550
 2.790  0.7352866  0.0000542
 2.810  0.7233341  0.0000540
 2.830  0.7124129  0.0000531
 2.850  0.7026434  0.0000538
 2.870  0.6940730  0.0000525
 2.890  0.6867360  0.0000524
 2.910  0.6806746  0.0000521
 2.930  0.6758704  0.0000528
 2.950  0.6723041  0.0000516
 2.970  0.6700077  0.0000512
 2.990  0.6689340  0.0000519
 3.010  0.6691454  0.0000509
 3.030  0.6704631  0.0000519
 3.050  0.6729712  0.0000525
 3.070  0.6765591  0.0000526
 3.090  0.6811385  0.0000523
 3.110  0.6866712  0.0000531
 3.130  0.6930880  0.0000526
 3.150  0.7001651  0.0000533
 3.170  0.7079806  0.0000544
 3.190  0.7163171  0.0000548
 3.210  0.7250076  0.0000538
 3.230  0.7339126  0.0000550
 3.250  0.7429551  0.0000560
 3.270  0.7518675  0.0000567
 3.290  0.7604491  0.0000572
 3.310  0.7686919  0.0000562
 3.330  0.7763318  0.0000576
 3.350  0.7833075  0.0000585
 3.370  0.7894501  0.0000592
 3.390  0.7947021  0.0000581
 3.410  0.7988775  0.0000578
 3.430  0.8020392  0.0000594
 3.450  0.8041183  0.0000585
 3.470  0.8050898  0.0000581
 3.490  0.8049869  0.0000580
 3.510  0.8039727  0.0000578
 3.530  0.8019634  0.0000572
 3.550  0.7991619  0.0000572
 3.570  0.7955858  0.0000578
 3.590  0.7913391  0.0000560
 3.610  0.7866477  0.0000564
 3.630  0.7814751  0.0000561
 3.650  0.7760880  0.0000565
 3.670  0.7705209  0.0000560
 3.690  0.7648448  0.0000553
 3.710  0.7592427  0.0000551
 3.730  0.7537215  0.0000551
 3.750  0.7485377  0.0000547
 3.770  0.7434610  0.0000542
 3.790  0.7388852  0.0000547
 3.810  0.7346181  0.0000546
 3.830  0.7308443  0.0000547
 3.850  0.7275561  0.0000531
 3.870  0.7246934  0.0000545
 3.890  0.7224021  0.0000533
 3.910  0.7206927  0.0000531
 3.930  0.7194805  0.0000535
 3.950  0.7188418  0.0000530
 3.970  0.7186279  0.0000532
 3.990  0.7190586  0.0000536
 4.010  0.7198887  0.0000531
 4.030  0.7212508  0.0000528
 4.050  0.7229760  0.0000538
 4.070  0.7251552  0.0000536
 4.090  0.7276164  0.0000535
 4.110  0.7303634  0.0000549
 4.130  0.7334245  0.0000546
 4.150  0.7366584  0.0000551
 4.170  0.7399354  0.0000552
 4.190  0.7433807  0.0000554
 4.210  0.7467613  0.0000559
 4.230  0.7501212  0.0000554
 4.250  0.7533392  0.0000548
 4.270  0.7564499  0.0000551
 4.290  0.7593170  0.0000551
 4.310  0.7619963  0.0000559
 4.330  0.7642530  0.0000557
 4.350  0.7663004  0.0000545
 4.370  0.7678841  0.0000556
 4.390  0.7691903  0.0000558
 4.410  0.7701072  0.0000559
 4.430  0.7705936  0.0000571
 4.450  0.7707837  0.0000556
 4.470  0.7705438  0.0000558
 4.490  0.7700130  0.0000558
 4.510  0.7691357  0.0000559
 4.530  0.7680262  0.0000561
 4.550  0.7666206  0.0000553
 4.570  0.7650499  0.0000561
 4.590  0.7632212  0.0000562
 4.610  0.7613013  0.0000546
 4.630  0.7592531  0.0000551
 4.650  0.7571720  0.0000548
 4.670  0.7550744  0.0000556
 4.690  0.7529370  0.0000551
 4.710  0.7509302  0.0000546
 4.730  0.7489314  0.0000539
 4.750  0.7470929  0.0000548
 4.770  0.7454049  0.0000557
 4.790  0.7438260  0.0000553
 4.810  0.7424550  0.0000551
 4.830  0.7412118  0.0000560
 4.850  0.7402180  0.0000549
 4.870  0.7394420  0.0000544
 4.890  0.7388327  0.0000541
 4.910  0.7384849  0.0000536
 4.930  0.7383076  0.0000540
 4.950  0.7384088  0.0000542
 4.970  0.7386724  0.0000540
 4.990  0.7391027  0.0000542
 5.010  0.7397296  0.0000545
 5.030  0.7405006  0.0000544
 5.050  0.7413993  0.0000555
 5.070  0.7424534  0.0000546
 5.090  0.7435710  0.0000549
 5.110  0.7447731  0.0000546
 5.130  0.7460502  0.0000555
 5.150  0.7473403  0.0000553
 5.170  0.7486218  0.0000545
 5.190  0.7499178  0.0000555
 5.210  0.7510897  0.0000549
 5.230  0.7523520  0.0000551
 5.250  0.7534816  0.0000553
 5.270  0.7544580  0.0000554
 5.290  0.7553505  0.0000558
 5.310  0.7561652  0.0000549
 5.330  0.7568070  0.0000553
 5.350  0.7573318  0.0000562
 5.370  0.7577293  0.0000550
 5.390  0.7580364  0.0000558
 5.410  0.7580512  0.0000556
 5.430  0.7581035  0.0000557
 5.450  0.7579678  0.0000552
 5.470  0.7577134  0.0000551
 5.490  0.7573571  0.0000556
 5.510  0.7568144  0.0000542
 5.530  0.7562914  0.0000557
 5.550  0.7556881  0.0000548
 5.570  0.7549302  0.0000555
 5.590  0.7541778  0.0000554
 5.610  0.7534480  0.0000554
 5.630  0.7526249  0.0000551
 5.650  0.7518154  0.0000545
 5.670  0.7510677  0.0000560
 5.690  0.7502711  0.0000560
 5.710  0.7495911  0.0000556
 5.730  0.7488757  0.0000553
 5.750  0.7482842  0.0000561
 5.770  0.7477508  0.0000542
 5.790  0.7472036  0.0000553
 5.810  0.7468080  0.0000552
 5.830  0.7464755  0.0000549
 5.850  0.7461992  0.0000543
 5.870  0.7460330  0.0000544
 5.890  0.7459381  0.0000546
 5.910  0.7459281  0.0000551
 5.930  0.7459923  0.0000542
 5.950  0.7461676  0.0000543
 5.970  0.7462839  0.0000550
 5.990  0.7465726  0.0000543
 6.010  0.7469239  0.0000547
 6.030  0.7473088  0.0000559
 6.050  0.7477581  0.0000546
 6.070  0.7481914  0.0000551
 6.090  0.7486506  0.0000545
 6.110  0.7490977  0.0000556
 6.130  0.7496513  0.0000545
 6.150  0.7501183  0.0000545
 6.170  0.7505962  0.0000547
 6.190  0.7510451  0.0000552
 6.210  0.7514566  0.0000551
 6.230  0.7518654  0.0000548
 6.250  0.7522107  0.0000545
 6.270  0.7525221  0.0000545
 6.290  0.7528175  0.0000555
 6.310  0.7530098  0.0000552
 6.330  0.7531942  0.0000540
 6.350  0.7532968  0.0000548
 6.370  0.7533964  0.0000541
 6.390  0.7534199  0.0000557
 6.410  0.7533953  0.0000552
 6.430  0.7532910  0.0000558
 6.450  0.7531512  0.0000543
 6.470  0.7529629  0.0000545
 6.490  0.7527821  0.0000547
 6.510  0.7525302  0.0000551
 6.530  0.7523310  0.0000550
 6.550  0.7520048  0.0000543
 6.570  0.7517653  0.0000544
 6.590  0.7514716  0.0000551
 6.610  0.7511418  0.0000542
 6.630  0.7509142  0.0000555
 6.650  0.7505818  0.0000542
 6.670  0.7503047  0.0000544
 6.690  0.7500564  0.0000551
 6.710  0.7498055  0.0000554
 6.730  0.7495331  0.0000550
 6.750  0.7493634  0.0000554
 6.770  0.7492101  0.0000547
 6.790  0.7490771  0.0000548
 6.810  0.7489341  0.0000545
 6.830  0.7488427  0.0000554
 6.850  0.7488259  0.0000549
 6.870  0.7488048  0.0000541
 6.890  0.7487964  0.0000554
 6.910  0.7488511  0.0000539
 6.930  0.7489157  0.0000551
 6.950  0.7490795  0.0000550
 6.970  0.7491069  0.0000552
 6.990  0.7492745  0.0000547
 7.010  0.7494528  0.0000546
 7.030  0.7495919  0.0000543
 7.050  0.7497765  0.0000547
 7.070  0.7499834  0.0000543
 7.090  0.7501333  0.0000544
 7.110  0.7502529  0.0000550
 7.130  0.7504845  0.0000543
 7.150  0.7506430  0.0000552
 7.170  0.7508088  0.0000557
 7.190  0.7509858  0.0000561
 7.210  0.7511010  0.0000564
 7.230  0.7512694  0.0000551
 7.250  0.7512904  0.0000548
 7.270  0.7514406  0.0000543
 7.290  0.7515407  0.0000554
 7.310  0.7515506  0.0000542
 7.330  0.7515667  0.0000549
 7.350  0.7515855  0.0000552
 7.370  0.7516448  0.0000558
 7.390  0.7515960  0.0000547
 7.410  0.7515248  0.0000546
 7.430  0.7514767  0.0000546
 7.450  0.7514513  0.0000533
 7.470  0.7512888  0.0000548
 7.490  0.7512784  0.0000551
 7.510  0.7511582  0.0000543
 7.530  0.7510577  0.0000545
 7.550  0.7509644  0.0000542
 7.570  0.7508624  0.0000547
 7.590  0.7506418  0.0000539
 7.610  0.7505971  0.0000547
 7.630  0.7505268  0.0000545
 7.650  0.7503609  0.0000551
 7.670  0.7502853  0.0000552
 7.690  0.7502220  0.0000544
 7.710  0.7501128  0.0000547
 7.730  0.7501066  0.0000550
 7.750  0.7500189  0.0000544
 7.770  0.7499351  0.0000557
 7.790  0.7499264  0.0000554
 7.810  0.7498814  0.0000560
 7.830  0.7498848  0.0000549
 7.850  0.7499061  0.0000550
 7.870  0.7499072  0.0000558
 7.890  0.7499518  0.0000545
 7.910  0.7499559  0.0000552
 7.930  0.7500425  0.0000549
 7.950  0.7500419  0.0000565
 7.970  0.7501047  0.0000552
 7.990  0.7501668  0.0000553
 8.010  0.7502184  0.0000552
 8.030  0.7503372  0.0000546
 8.050  0.7503374  0.0000558
 8.070  0.7504150  0.0000554
 8.090  0.7505360  0.0000548
 8.110  0.7505760  0.0000540
 8.130  0.7506158  0.0000547
 8.150  0.7506564  0.0000554
 8.170  0.7507418  0.0000551
 8.190  0.7507684  0.0000544
 8.210  0.7508101  0.0000554
 8.230  0.7508461  0.0000556
 8.250  0.7509302  0.0000549
 8.270  0.7509006  0.0000547
 8.290  0.7509373  0.0000544
 8.310  0.7509513  0.0000557
 8.330  0.7509502  0.0000556
 8.350  0.7509457  0.0000541
 8.370  0.7508864  0.0000555
 8.390  0.7509433  0.0000539
 8.410  0.7508432  0.0000542
 8.430  0.7508345  0.0000554
 8.450  0.7508373  0.0000558
 8.470  0.7507648  0.0000545
 8.490  0.7507371  0.0000552
 8.510  0.7506937  0.0000547
 8.530  0.7506905  0.0000547
 8.550  0.7506308  0.0000541
 8.570  0.7505708  0.0000539
 8.590  0.7505729  0.0000546
 8.610  0.7505357  0.0000552
 8.630  0.7504914  0.0000550
 8.650  0.7504413  0.0000546
 8.670  0.7503438  0.0000552
 8.690  0.7503753  0.0000544
 8.710  0.7503229  0.0000550
 8.730  0.7503253  0.0000552
 8.750  0.7503314  0.0000543
 8.770  0.7502751  0.0000550
 8.790  0.7502926  0.0000539
 8.810  0.7502803  0.0000552
 8.830  0.7503086  0.0000547
 8.850  0.7503206  0.0000542
 8.870  0.7503213  0.0000547
 8.890  0.7503470  0.0000543
 8.910  0.7503526  0.0000552
 8.930  0.7503865  0.0000553
 8.950  0.7504270  0.0000550
 8.970  0.7504344  0.0000543
 8.990  0.7504750  0.0000551
 9.010  0.7504974  0.0000555
 9.030  0.7504972  0.0000549
 9.050  0.7505297  0.0000545
 9.070  0.7505449  0.0000540
 9.090  0.7505124  0.0000549
 9.110  0.7505964  0.0000549
 9.130  0.7506079  0.0000542
 9.150  0.7506133  0.0000550
 9.170  0.7506471  0.0000551
 9.190  0.7506508  0.0000545
 9.210  0.7506685  0.0000539
 9.230  0.7506814  0.0000542
 9.250  0.7506734  0.0000547
 9.270  0.7506848  0.0000562
 9.290  0.7506711  0.0000560
 9.310  0.7506539  0.0000543
 9.330  0.7506832  0.0000550
 9.350  0.7506660  0.0000550
 9.370  0.7506499  0.0000552
 9.390  0.7506117  0.0000544
 9.410  0.7506649  0.0000544
 9.430  0.7506352  0.0000551
 9.450  0.7506374  0.0000543
 9.470  0.7505945  0.0000544
 9.490  0.7506154  0.0000548
 9.510  0.7505962  0.0000546
 9.530  0.7505606  0.0000554
 9.550  0.7505506  0.0000543
 9.570  0.7505619  0.0000545
 9.590  0.7505229  0.0000542
