% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.10191620(0.00000008)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  0.1264076  0.0000022
 0.530  0.1254663  0.0000021
 0.550  0.1245356  0.0000021
 0.570  0.1236146  0.0000020
 0.590  0.1227037  0.0000020
 0.610  0.1218044  0.0000020
 0.630  0.1209172  0.0000019
 0.650  0.1200430  0.0000019
 0.670  0.1191821  0.0000019
 0.690  0.1183369  0.0000019
 0.710  0.1175041  0.0000019
 0.730  0.1166858  0.0000018
 0.750  0.1158836  0.0000018
 0.770  0.1150989  0.0000018
 0.790  0.1143278  0.0000017
 0.810  0.1135751  0.0000017
 0.830  0.1128385  0.0000017
 0.850  0.1121215  0.0000017
 0.870  0.1114215  0.0000017
 0.890  0.1107402  0.0000017
 0.910  0.1100778  0.0000016
 0.930  0.1094346  0.0000017
 0.950  0.1088125  0.0000016
 0.970  0.1082093  0.0000016
 0.990  0.1076264  0.0000016
 1.010  0.1070652  0.0000016
 1.030  0.1065260  0.0000016
 1.050  0.1060072  0.0000016
 1.070  0.1055112  0.0000016
 1.090  0.1050369  0.0000015
 1.110  0.1045868  0.0000016
 1.130  0.1041582  0.0000015
 1.150  0.1037539  0.0000016
 1.170  0.1033745  0.0000015
 1.190  0.1030183  0.0000015
 1.210  0.1026858  0.0000015
 1.230  0.1023810  0.0000015
 1.250  0.1021009  0.0000015
 1.270  0.1018461  0.0000015
 1.290  0.1016181  0.0000015
 1.310  0.1014173  0.0000015
 1.330  0.1012437  0.0000015
 1.350  0.1010981  0.0000015
 1.370  0.1009806  0.0000015
 1.390  0.1008909  0.0000015
 1.410  0.1008326  0.0000015
 1.430  0.1008022  0.0000015
 1.450  0.1008031  0.0000015
 1.470  0.1008337  0.0000015
 1.490  0.1008962  0.0000015
 1.510  0.1009844  0.0000015
 1.530  0.1010717  0.0000015
 1.550  0.1011542  0.0000015
 1.570  0.1012337  0.0000015
 1.590  0.1013053  0.0000015
 1.610  0.1013734  0.0000015
 1.630  0.1014371  0.0000015
 1.650  0.1014963  0.0000015
 1.670  0.1015503  0.0000015
 1.690  0.1016005  0.0000015
 1.710  0.1016468  0.0000015
 1.730  0.1016882  0.0000015
 1.750  0.1017278  0.0000015
 1.770  0.1017626  0.0000015
 1.790  0.1017946  0.0000015
 1.810  0.1018230  0.0000015
 1.830  0.1018486  0.0000015
 1.850  0.1018707  0.0000015
 1.870  0.1018921  0.0000015
 1.890  0.1019089  0.0000015
 1.910  0.1019252  0.0000015
 1.930  0.1019363  0.0000015
 1.950  0.1019481  0.0000015
 1.970  0.1019569  0.0000015
 1.990  0.1019655  0.0000014
 2.010  0.1019711  0.0000015
 2.030  0.1019753  0.0000015
 2.050  0.1019773  0.0000015
 2.070  0.1019802  0.0000015
 2.090  0.1019795  0.0000015
 2.110  0.1019788  0.0000015
 2.130  0.1019772  0.0000015
 2.150  0.1019766  0.0000015
 2.170  0.1019744  0.0000015
 2.190  0.1019711  0.0000015
 2.210  0.1019679  0.0000014
 2.230  0.1019644  0.0000015
 2.250  0.1019605  0.0000015
 2.270  0.1019555  0.0000015
