% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.93816387(0.00000537)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  9.9922671  0.0005787
 0.530  7.4945040  0.0004161
 0.550  5.6419169  0.0003307
 0.570  4.2651678  0.0002702
 0.590  3.2397498  0.0002323
 0.610  2.4745935  0.0002046
 0.630  1.9022182  0.0001798
 0.650  1.4731428  0.0001622
 0.670  1.1505633  0.0001432
 0.690  0.9072574  0.0001311
 0.710  0.7228926  0.0001175
 0.730  0.5827276  0.0001033
 0.750  0.4755202  0.0000960
 0.770  0.3932636  0.0000888
 0.790  0.3296989  0.0000827
 0.810  0.2803417  0.0000782
 0.830  0.2419543  0.0000748
 0.850  0.2119487  0.0000681
 0.870  0.1883925  0.0000665
 0.890  0.1700398  0.0000643
 0.910  0.1557248  0.0000616
 0.930  0.1448624  0.0000592
 0.950  0.1368231  0.0000590
 0.970  0.1312500  0.0000587
 0.990  0.1279621  0.0000586
 1.010  0.1269121  0.0000594
 1.030  0.1280122  0.0000602
 1.050  0.1315832  0.0000615
 1.070  0.1377009  0.0000642
 1.090  0.1469531  0.0000670
 1.110  0.1598221  0.0000696
 1.130  0.1773741  0.0000751
 1.150  0.2010002  0.0000798
 1.170  0.2324942  0.0000860
 1.190  0.2744830  0.0000966
 1.210  0.3307401  0.0001041
 1.230  0.4056595  0.0001159
 1.250  0.5044618  0.0001296
 1.270  0.6332135  0.0001440
 1.290  0.7988037  0.0001586
 1.310  1.0083293  0.0001750
 1.330  1.2672188  0.0001921
 1.350  1.5735441  0.0002182
 1.370  1.9088013  0.0002512
 1.390  2.2314938  0.0002813
 1.410  2.4836128  0.0003035
 1.430  2.6244909  0.0003078
 1.450  2.6454344  0.0002920
 1.470  2.5623812  0.0002742
 1.490  2.4031509  0.0002480
 1.510  2.1940192  0.0002334
 1.530  1.9550538  0.0002128
 1.550  1.7144363  0.0001935
 1.570  1.4893482  0.0001826
 1.590  1.2883055  0.0001701
 1.610  1.1134347  0.0001564
 1.630  0.9640113  0.0001489
 1.650  0.8381029  0.0001407
 1.670  0.7328994  0.0001309
 1.690  0.6456554  0.0001235
 1.710  0.5735340  0.0001187
 1.730  0.5143148  0.0001128
 1.750  0.4659051  0.0001072
 1.770  0.4266117  0.0001038
 1.790  0.3952262  0.0001014
 1.810  0.3704703  0.0000976
 1.830  0.3514893  0.0000980
 1.850  0.3377344  0.0000975
 1.870  0.3287472  0.0000977
 1.890  0.3240835  0.0000982
 1.910  0.3238045  0.0000976
 1.930  0.3277630  0.0001013
 1.950  0.3361517  0.0001020
 1.970  0.3492535  0.0001040
 1.990  0.3675984  0.0001091
 2.010  0.3917866  0.0001121
 2.030  0.4226585  0.0001186
 2.050  0.4612144  0.0001229
 2.070  0.5086554  0.0001292
 2.090  0.5660728  0.0001355
 2.110  0.6346382  0.0001444
 2.130  0.7153505  0.0001499
 2.150  0.8086452  0.0001589
 2.170  0.9144310  0.0001680
 2.190  1.0314010  0.0001753
 2.210  1.1569964  0.0001879
 2.230  1.2870123  0.0001960
 2.250  1.4147387  0.0002128
 2.270  1.5325182  0.0002236
 2.290  1.6323390  0.0002354
 2.310  1.7071144  0.0002359
 2.330  1.7515874  0.0002361
 2.350  1.7637888  0.0002372
 2.370  1.7450619  0.0002336
 2.390  1.6985120  0.0002253
 2.410  1.6297169  0.0002115
 2.430  1.5442269  0.0001990
 2.450  1.4484643  0.0001925
 2.470  1.3476941  0.0001810
 2.490  1.2466702  0.0001750
 2.510  1.1486438  0.0001647
 2.530  1.0560659  0.0001600
 2.550  0.9708546  0.0001515
 2.570  0.8935686  0.0001475
 2.590  0.8248266  0.0001442
 2.610  0.7644168  0.0001386
 2.630  0.7119251  0.0001347
 2.650  0.6670643  0.0001297
 2.670  0.6291628  0.0001280
 2.690  0.5977742  0.0001256
 2.710  0.5724062  0.0001240
 2.730  0.5526393  0.0001208
 2.750  0.5380384  0.0001199
 2.770  0.5283202  0.0001202
 2.790  0.5232202  0.0001216
 2.810  0.5226792  0.0001216
 2.830  0.5267428  0.0001223
 2.850  0.5354099  0.0001239
 2.870  0.5485813  0.0001263
 2.890  0.5666074  0.0001278
 2.910  0.5895752  0.0001305
 2.930  0.6176877  0.0001332
 2.950  0.6514294  0.0001364
 2.970  0.6906985  0.0001394
 2.990  0.7355943  0.0001408
 3.010  0.7861939  0.0001450
 3.030  0.8419357  0.0001525
 3.050  0.9022010  0.0001555
 3.070  0.9660029  0.0001627
 3.090  1.0318228  0.0001665
 3.110  1.0977526  0.0001769
 3.130  1.1618150  0.0001823
 3.150  1.2214470  0.0001861
 3.170  1.2740431  0.0001949
 3.190  1.3176749  0.0001974
 3.210  1.3499985  0.0002003
 3.230  1.3701604  0.0002012
 3.250  1.3774595  0.0001999
 3.270  1.3718701  0.0001974
 3.290  1.3543548  0.0001898
 3.310  1.3266223  0.0001866
 3.330  1.2900630  0.0001805
 3.350  1.2467537  0.0001741
 3.370  1.1989765  0.0001709
 3.390  1.1482056  0.0001641
 3.410  1.0964304  0.0001616
 3.430  1.0449729  0.0001552
 3.450  0.9949283  0.0001532
 3.470  0.9474811  0.0001471
 3.490  0.9031821  0.0001459
 3.510  0.8624227  0.0001425
 3.530  0.8257409  0.0001384
 3.550  0.7931592  0.0001384
 3.570  0.7645459  0.0001378
 3.590  0.7402232  0.0001356
 3.610  0.7199351  0.0001321
 3.630  0.7036816  0.0001329
 3.650  0.6913106  0.0001317
 3.670  0.6827187  0.0001323
 3.690  0.6780399  0.0001325
 3.710  0.6769690  0.0001306
 3.730  0.6795566  0.0001343
