% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.85691866(0.00000433)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  7.1434255  0.0004059
 0.530  5.6966596  0.0002924
 0.550  4.5630358  0.0002296
 0.570  3.6720352  0.0001913
 0.590  2.9702559  0.0001619
 0.610  2.4154181  0.0001425
 0.630  1.9761309  0.0001311
 0.650  1.6268439  0.0001196
 0.670  1.3483351  0.0001108
 0.690  1.1256610  0.0001022
 0.710  0.9469973  0.0000954
 0.730  0.8031472  0.0000904
 0.750  0.6869939  0.0000844
 0.770  0.5928965  0.0000794
 0.790  0.5164968  0.0000757
 0.810  0.4542666  0.0000706
 0.830  0.4035183  0.0000658
 0.850  0.3621957  0.0000639
 0.870  0.3284787  0.0000605
 0.890  0.3011020  0.0000580
 0.910  0.2790407  0.0000558
 0.930  0.2615448  0.0000544
 0.950  0.2478760  0.0000533
 0.970  0.2376521  0.0000526
 0.990  0.2305936  0.0000524
 1.010  0.2263595  0.0000516
 1.030  0.2249940  0.0000529
 1.050  0.2263999  0.0000528
 1.070  0.2307339  0.0000522
 1.090  0.2381395  0.0000552
 1.110  0.2489811  0.0000565
 1.130  0.2637171  0.0000579
 1.150  0.2830402  0.0000604
 1.170  0.3076345  0.0000619
 1.190  0.3387804  0.0000656
 1.210  0.3776682  0.0000683
 1.230  0.4259304  0.0000727
 1.250  0.4855550  0.0000776
 1.270  0.5584915  0.0000830
 1.290  0.6471289  0.0000877
 1.310  0.7538713  0.0000955
 1.330  0.8801819  0.0001063
 1.350  1.0265918  0.0001169
 1.370  1.1898265  0.0001267
 1.390  1.3605182  0.0001424
 1.410  1.5214852  0.0001536
 1.430  1.6556998  0.0001621
 1.450  1.7517743  0.0001625
 1.470  1.8056986  0.0001622
 1.490  1.8185424  0.0001522
 1.510  1.7907912  0.0001484
 1.530  1.7172836  0.0001402
 1.550  1.6146792  0.0001325
 1.570  1.4987410  0.0001255
 1.590  1.3795926  0.0001193
 1.610  1.2634228  0.0001141
 1.630  1.1542918  0.0001100
 1.650  1.0539467  0.0001047
 1.670  0.9632291  0.0001008
 1.690  0.8821807  0.0000984
 1.710  0.8106633  0.0000943
 1.730  0.7479998  0.0000909
 1.750  0.6935625  0.0000883
 1.770  0.6466708  0.0000866
 1.790  0.6065696  0.0000841
 1.810  0.5726607  0.0000816
 1.830  0.5443790  0.0000796
 1.850  0.5212603  0.0000780
 1.870  0.5028902  0.0000780
 1.890  0.4888944  0.0000765
 1.910  0.4790040  0.0000745
 1.930  0.4731490  0.0000763
 1.950  0.4709432  0.0000738
 1.970  0.4724747  0.0000752
 1.990  0.4777564  0.0000757
 2.010  0.4869309  0.0000755
 2.030  0.4998125  0.0000780
 2.050  0.5167828  0.0000783
 2.070  0.5378952  0.0000800
 2.090  0.5634453  0.0000830
 2.110  0.5935673  0.0000834
 2.130  0.6283224  0.0000881
 2.150  0.6679991  0.0000892
 2.170  0.7123356  0.0000916
 2.190  0.7612617  0.0000983
 2.210  0.8141012  0.0001002
 2.230  0.8700820  0.0001024
 2.250  0.9279934  0.0001090
 2.270  0.9863201  0.0001132
 2.290  1.0430064  0.0001196
 2.310  1.0958285  0.0001223
 2.330  1.1428754  0.0001230
 2.350  1.1820655  0.0001235
 2.370  1.2118298  0.0001250
 2.390  1.2311892  0.0001261
 2.410  1.2396827  0.0001233
 2.430  1.2373816  0.0001251
 2.450  1.2249896  0.0001206
 2.470  1.2036531  0.0001163
 2.490  1.1749187  0.0001146
 2.510  1.1401970  0.0001127
 2.530  1.1012003  0.0001098
 2.550  1.0596179  0.0001078
 2.570  1.0167368  0.0001042
 2.590  0.9739276  0.0001016
 2.610  0.9322769  0.0000998
 2.630  0.8923262  0.0000986
 2.650  0.8548984  0.0000961
 2.670  0.8201518  0.0000965
 2.690  0.7885133  0.0000945
 2.710  0.7601047  0.0000925
 2.730  0.7348678  0.0000912
 2.750  0.7129470  0.0000900
 2.770  0.6943695  0.0000874
 2.790  0.6788611  0.0000881
 2.810  0.6665808  0.0000864
 2.830  0.6572439  0.0000864
 2.850  0.6510182  0.0000874
 2.870  0.6477298  0.0000862
 2.890  0.6473042  0.0000863
 2.910  0.6496672  0.0000865
 2.930  0.6548879  0.0000871
 2.950  0.6627262  0.0000885
 2.970  0.6734136  0.0000891
 2.990  0.6866932  0.0000876
 3.010  0.7023193  0.0000907
 3.030  0.7204981  0.0000915
 3.050  0.7407520  0.0000916
 3.070  0.7629696  0.0000944
 3.090  0.7869165  0.0000950
 3.110  0.8122475  0.0000967
 3.130  0.8383240  0.0000982
 3.150  0.8650310  0.0001013
 3.170  0.8913817  0.0001015
 3.190  0.9170070  0.0001044
 3.210  0.9412836  0.0001058
 3.230  0.9635771  0.0001074
 3.250  0.9832684  0.0001104
 3.270  0.9997724  0.0001084
 3.290  1.0129632  0.0001091
 3.310  1.0222528  0.0001105
 3.330  1.0276729  0.0001096
 3.350  1.0290183  0.0001091
 3.370  1.0268270  0.0001095
 3.390  1.0208452  0.0001075
 3.410  1.0117460  0.0001063
 3.430  0.9997018  0.0001051
 3.450  0.9852295  0.0001028
 3.470  0.9690260  0.0001025
 3.490  0.9514063  0.0001018
 3.510  0.9327587  0.0001006
 3.530  0.9138188  0.0001015
 3.550  0.8947348  0.0000991
 3.570  0.8759803  0.0000976
 3.590  0.8576712  0.0000971
 3.610  0.8405858  0.0000970
 3.630  0.8244878  0.0000966
 3.650  0.8096148  0.0000940
 3.670  0.7962866  0.0000927
 3.690  0.7844866  0.0000953
 3.710  0.7743461  0.0000933
 3.730  0.7659132  0.0000928
 3.750  0.7592179  0.0000917
 3.770  0.7543769  0.0000922
 3.790  0.7512856  0.0000912
 3.810  0.7498509  0.0000905
 3.830  0.7501388  0.0000907
 3.850  0.7521587  0.0000914
 3.870  0.7558496  0.0000906
 3.890  0.7609448  0.0000913
 3.910  0.7675604  0.0000929
 3.930  0.7756080  0.0000928
 3.950  0.7846992  0.0000925
 3.970  0.7950226  0.0000928
 3.990  0.8061903  0.0000964
 4.010  0.8180978  0.0000973
 4.030  0.8306111  0.0000972
 4.050  0.8433805  0.0000985
 4.070  0.8561778  0.0000991
 4.090  0.8687290  0.0000987
 4.110  0.8809271  0.0001003
 4.130  0.8924464  0.0001019
 4.150  0.9030654  0.0001012
 4.170  0.9125133  0.0001019
 4.190  0.9205216  0.0001009
 4.210  0.9271180  0.0001020
 4.230  0.9322787  0.0001026
 4.250  0.9356297  0.0001027
 4.270  0.9374181  0.0000996
 4.290  0.9374348  0.0001032
 4.310  0.9359887  0.0001029
 4.330  0.9328912  0.0001012
 4.350  0.9285552  0.0000995
 4.370  0.9230430  0.0001005
 4.390  0.9163071  0.0000992
 4.410  0.9089438  0.0000984
 4.430  0.9007323  0.0000991
 4.450  0.8920653  0.0000984
 4.470  0.8830290  0.0000963
 4.490  0.8739968  0.0000959
 4.510  0.8650889  0.0000960
 4.530  0.8563722  0.0000960
 4.550  0.8479195  0.0000966
 4.570  0.8400363  0.0000958
 4.590  0.8327573  0.0000931
 4.610  0.8260856  0.0000936
 4.630  0.8202718  0.0000950
 4.650  0.8152622  0.0000945
 4.670  0.8110547  0.0000945
 4.690  0.8077994  0.0000942
 4.710  0.8055196  0.0000954
 4.730  0.8041676  0.0000944
 4.750  0.8037982  0.0000948
 4.770  0.8041577  0.0000942
 4.790  0.8055710  0.0000942
 4.810  0.8077661  0.0000948
 4.830  0.8107321  0.0000950
 4.850  0.8143518  0.0000954
 4.870  0.8187079  0.0000950
 4.890  0.8236157  0.0000953
 4.910  0.8290221  0.0000959
 4.930  0.8347087  0.0000957
 4.950  0.8407176  0.0000971
 4.970  0.8469948  0.0000967
 4.990  0.8532656  0.0000953
 5.010  0.8593668  0.0000976
 5.030  0.8652813  0.0000977
 5.050  0.8709207  0.0000982
 5.070  0.8761808  0.0000993
 5.090  0.8809324  0.0001001
