% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.19440226(0.00000035)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  0.2957065  0.0000086
 0.530  0.2908785  0.0000084
 0.550  0.2861590  0.0000080
 0.570  0.2815354  0.0000079
 0.590  0.2770171  0.0000077
 0.610  0.2726024  0.0000074
 0.630  0.2682874  0.0000073
 0.650  0.2640864  0.0000070
 0.670  0.2599900  0.0000069
 0.690  0.2559990  0.0000067
 0.710  0.2521234  0.0000067
 0.730  0.2483538  0.0000066
 0.750  0.2446943  0.0000063
 0.770  0.2411428  0.0000063
 0.790  0.2377046  0.0000061
 0.810  0.2343793  0.0000060
 0.830  0.2311644  0.0000059
 0.850  0.2280589  0.0000057
 0.870  0.2250678  0.0000057
 0.890  0.2221824  0.0000055
 0.910  0.2194132  0.0000054
 0.930  0.2167515  0.0000054
 0.950  0.2142012  0.0000054
 0.970  0.2117631  0.0000053
 0.990  0.2094340  0.0000052
 1.010  0.2072181  0.0000052
 1.030  0.2051129  0.0000051
 1.050  0.2031174  0.0000051
 1.070  0.2012353  0.0000051
 1.090  0.1994598  0.0000050
 1.110  0.1978006  0.0000050
 1.130  0.1962532  0.0000049
 1.150  0.1948112  0.0000048
 1.170  0.1934891  0.0000050
 1.190  0.1922808  0.0000050
 1.210  0.1911813  0.0000049
 1.230  0.1902001  0.0000048
 1.250  0.1893306  0.0000048
 1.270  0.1885792  0.0000047
 1.290  0.1879480  0.0000048
 1.310  0.1874363  0.0000048
 1.330  0.1870425  0.0000048
 1.350  0.1867712  0.0000048
 1.370  0.1866285  0.0000048
 1.390  0.1866065  0.0000048
 1.410  0.1867091  0.0000047
 1.430  0.1869476  0.0000048
 1.450  0.1873114  0.0000048
 1.470  0.1878083  0.0000048
 1.490  0.1884363  0.0000048
 1.510  0.1891648  0.0000048
 1.530  0.1898733  0.0000049
 1.550  0.1905196  0.0000048
 1.570  0.1911213  0.0000049
 1.590  0.1916687  0.0000049
 1.610  0.1921700  0.0000048
 1.630  0.1926265  0.0000049
 1.650  0.1930369  0.0000049
 1.670  0.1934070  0.0000050
 1.690  0.1937426  0.0000049
 1.710  0.1940416  0.0000052
 1.730  0.1943003  0.0000050
 1.750  0.1945290  0.0000050
 1.770  0.1947261  0.0000050
 1.790  0.1948987  0.0000049
 1.810  0.1950370  0.0000049
 1.830  0.1951565  0.0000050
 1.850  0.1952515  0.0000049
 1.870  0.1953266  0.0000050
 1.890  0.1953822  0.0000050
 1.910  0.1954196  0.0000048
 1.930  0.1954412  0.0000049
 1.950  0.1954460  0.0000049
 1.970  0.1954411  0.0000049
 1.990  0.1954248  0.0000050
 2.010  0.1953923  0.0000050
 2.030  0.1953576  0.0000049
 2.050  0.1953116  0.0000050
 2.070  0.1952583  0.0000049
 2.090  0.1952048  0.0000049
 2.110  0.1951405  0.0000049
 2.130  0.1950841  0.0000050
 2.150  0.1950166  0.0000050
 2.170  0.1949482  0.0000050
 2.190  0.1948817  0.0000049
 2.210  0.1948199  0.0000048
 2.230  0.1947544  0.0000049
 2.250  0.1946939  0.0000048
 2.270  0.1946373  0.0000048
 2.290  0.1945787  0.0000049
 2.310  0.1945265  0.0000049
 2.330  0.1944821  0.0000049
 2.350  0.1944385  0.0000049
 2.370  0.1943936  0.0000048
 2.390  0.1943611  0.0000050
 2.410  0.1943309  0.0000049
 2.430  0.1943048  0.0000050
 2.450  0.1942853  0.0000050
 2.470  0.1942670  0.0000048
 2.490  0.1942533  0.0000050
 2.510  0.1942510  0.0000049
