% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.30466521(0.00000061)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  0.5972208  0.0000181
 0.530  0.5791950  0.0000172
 0.550  0.5618180  0.0000164
 0.570  0.5450907  0.0000157
 0.590  0.5290017  0.0000147
 0.610  0.5135312  0.0000142
 0.630  0.4986669  0.0000136
 0.650  0.4844148  0.0000132
 0.670  0.4707404  0.0000126
 0.690  0.4576453  0.0000121
 0.710  0.4451040  0.0000117
 0.730  0.4331074  0.0000115
 0.750  0.4216451  0.0000109
 0.770  0.4107057  0.0000107
 0.790  0.4002876  0.0000104
 0.810  0.3903413  0.0000101
 0.830  0.3808953  0.0000099
 0.850  0.3718978  0.0000095
 0.870  0.3633787  0.0000095
 0.890  0.3552950  0.0000092
 0.910  0.3476528  0.0000089
 0.930  0.3404265  0.0000090
 0.950  0.3336262  0.0000087
 0.970  0.3272296  0.0000086
 0.990  0.3212309  0.0000085
 1.010  0.3156155  0.0000084
 1.030  0.3103807  0.0000080
 1.050  0.3055219  0.0000081
 1.070  0.3010246  0.0000080
 1.090  0.2969047  0.0000079
 1.110  0.2931301  0.0000079
 1.130  0.2897126  0.0000079
 1.150  0.2866452  0.0000079
 1.170  0.2839219  0.0000078
 1.190  0.2815505  0.0000076
 1.210  0.2795174  0.0000078
 1.230  0.2778338  0.0000077
 1.250  0.2764886  0.0000076
 1.270  0.2755013  0.0000076
 1.290  0.2748549  0.0000078
 1.310  0.2745634  0.0000076
 1.330  0.2746328  0.0000075
 1.350  0.2750638  0.0000076
 1.370  0.2758602  0.0000077
 1.390  0.2770293  0.0000078
 1.410  0.2785829  0.0000078
 1.430  0.2805219  0.0000079
 1.450  0.2828266  0.0000080
 1.470  0.2855104  0.0000079
 1.490  0.2885778  0.0000082
 1.510  0.2918999  0.0000080
 1.530  0.2949856  0.0000084
 1.550  0.2977537  0.0000083
 1.570  0.3002193  0.0000083
 1.590  0.3023948  0.0000086
 1.610  0.3043050  0.0000086
 1.630  0.3059508  0.0000085
 1.650  0.3073660  0.0000086
 1.670  0.3085772  0.0000088
 1.690  0.3095738  0.0000086
 1.710  0.3103952  0.0000088
 1.730  0.3110450  0.0000087
 1.750  0.3115423  0.0000087
 1.770  0.3118923  0.0000086
 1.790  0.3121186  0.0000089
 1.810  0.3122193  0.0000086
 1.830  0.3122308  0.0000086
 1.850  0.3121433  0.0000086
 1.870  0.3119760  0.0000086
 1.890  0.3117429  0.0000086
 1.910  0.3114441  0.0000085
 1.930  0.3110901  0.0000086
 1.950  0.3106895  0.0000085
 1.970  0.3102668  0.0000085
 1.990  0.3098115  0.0000086
 2.010  0.3093372  0.0000087
 2.030  0.3088454  0.0000085
 2.050  0.3083524  0.0000085
 2.070  0.3078618  0.0000085
 2.090  0.3073624  0.0000084
 2.110  0.3068837  0.0000083
 2.130  0.3064118  0.0000084
 2.150  0.3059530  0.0000081
 2.170  0.3055305  0.0000084
 2.190  0.3051255  0.0000083
 2.210  0.3047497  0.0000083
 2.230  0.3043953  0.0000083
 2.250  0.3040744  0.0000084
 2.270  0.3037912  0.0000082
 2.290  0.3035452  0.0000082
 2.310  0.3033273  0.0000081
 2.330  0.3031523  0.0000082
 2.350  0.3030156  0.0000081
 2.370  0.3029102  0.0000082
 2.390  0.3028397  0.0000081
 2.410  0.3027980  0.0000082
 2.430  0.3027837  0.0000082
 2.450  0.3028094  0.0000081
 2.470  0.3028583  0.0000082
