% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.48453108(0.00000126)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  1.4715356  0.0000551
 0.530  1.3783577  0.0000486
 0.550  1.2919893  0.0000447
 0.570  1.2119630  0.0000407
 0.590  1.1378946  0.0000371
 0.610  1.0693376  0.0000338
 0.630  1.0059010  0.0000320
 0.650  0.9472589  0.0000291
 0.670  0.8930777  0.0000278
 0.690  0.8429877  0.0000257
 0.710  0.7967827  0.0000240
 0.730  0.7541234  0.0000234
 0.750  0.7147884  0.0000225
 0.770  0.6785277  0.0000211
 0.790  0.6451132  0.0000207
 0.810  0.6143768  0.0000200
 0.830  0.5861045  0.0000196
 0.850  0.5601536  0.0000188
 0.870  0.5363454  0.0000184
 0.890  0.5145558  0.0000179
 0.910  0.4946420  0.0000173
 0.930  0.4764857  0.0000174
 0.950  0.4600009  0.0000169
 0.970  0.4450424  0.0000165
 0.990  0.4315778  0.0000165
 1.010  0.4194851  0.0000161
 1.030  0.4087331  0.0000160
 1.050  0.3992426  0.0000160
 1.070  0.3909681  0.0000156
 1.090  0.3838567  0.0000155
 1.110  0.3778994  0.0000154
 1.130  0.3730233  0.0000155
 1.150  0.3692382  0.0000155
 1.170  0.3665190  0.0000154
 1.190  0.3648721  0.0000152
 1.210  0.3642980  0.0000153
 1.230  0.3648039  0.0000155
 1.250  0.3664007  0.0000152
 1.270  0.3691050  0.0000155
 1.290  0.3729732  0.0000156
 1.310  0.3780257  0.0000159
 1.330  0.3843001  0.0000160
 1.350  0.3918390  0.0000162
 1.370  0.4007025  0.0000166
 1.390  0.4108698  0.0000168
 1.410  0.4223887  0.0000171
 1.430  0.4351217  0.0000176
 1.450  0.4490822  0.0000179
 1.470  0.4640969  0.0000188
 1.490  0.4800986  0.0000192
 1.510  0.4963245  0.0000200
 1.530  0.5102015  0.0000199
 1.550  0.5213978  0.0000204
 1.570  0.5302090  0.0000205
 1.590  0.5368671  0.0000210
 1.610  0.5416650  0.0000208
 1.630  0.5448183  0.0000210
 1.650  0.5465120  0.0000208
 1.670  0.5469878  0.0000208
 1.690  0.5464061  0.0000205
 1.710  0.5449087  0.0000209
 1.730  0.5426725  0.0000199
 1.750  0.5397812  0.0000198
 1.770  0.5363993  0.0000199
 1.790  0.5326448  0.0000197
 1.810  0.5285682  0.0000195
 1.830  0.5242690  0.0000190
 1.850  0.5198324  0.0000191
 1.870  0.5153181  0.0000193
 1.890  0.5107672  0.0000190
 1.910  0.5062754  0.0000186
 1.930  0.5018616  0.0000185
 1.950  0.4975529  0.0000182
 1.970  0.4934371  0.0000184
 1.990  0.4894691  0.0000182
 2.010  0.4857337  0.0000180
 2.030  0.4822286  0.0000178
 2.050  0.4789833  0.0000179
 2.070  0.4760083  0.0000177
 2.090  0.4733195  0.0000175
 2.110  0.4709303  0.0000176
 2.130  0.4688433  0.0000175
 2.150  0.4670862  0.0000176
 2.170  0.4656355  0.0000176
 2.190  0.4644856  0.0000174
 2.210  0.4636717  0.0000177
 2.230  0.4631589  0.0000174
 2.250  0.4629540  0.0000174
 2.270  0.4630461  0.0000175
 2.290  0.4634150  0.0000176
 2.310  0.4640806  0.0000177
 2.330  0.4649875  0.0000175
 2.350  0.4661611  0.0000178
 2.370  0.4675149  0.0000178
 2.390  0.4690713  0.0000181
 2.410  0.4707777  0.0000181
 2.430  0.4725912  0.0000180
 2.450  0.4745266  0.0000184
 2.470  0.4765250  0.0000181
 2.490  0.4785299  0.0000182
 2.510  0.4805175  0.0000180
 2.530  0.4824138  0.0000182
 2.550  0.4842033  0.0000183
 2.570  0.4858761  0.0000185
 2.590  0.4873956  0.0000186
 2.610  0.4887498  0.0000186
 2.630  0.4899344  0.0000187
 2.650  0.4909441  0.0000186
 2.670  0.4917770  0.0000187
 2.690  0.4924287  0.0000187
 2.710  0.4929346  0.0000189
 2.730  0.4932567  0.0000185
 2.750  0.4934255  0.0000186
 2.770  0.4934534  0.0000186
 2.790  0.4933661  0.0000182
 2.810  0.4931253  0.0000186
 2.830  0.4928174  0.0000181
 2.850  0.4923967  0.0000184
 2.870  0.4918851  0.0000187
 2.890  0.4913091  0.0000182
 2.910  0.4906921  0.0000184
 2.930  0.4900187  0.0000182
 2.950  0.4893500  0.0000183
 2.970  0.4886317  0.0000177
 2.990  0.4879137  0.0000183
 3.010  0.4872011  0.0000178
 3.030  0.4864950  0.0000182
 3.050  0.4858166  0.0000181
 3.070  0.4851634  0.0000180
 3.090  0.4845313  0.0000178
 3.110  0.4839473  0.0000181
 3.130  0.4834113  0.0000181
 3.150  0.4829349  0.0000183
 3.170  0.4824916  0.0000181
 3.190  0.4821203  0.0000180
 3.210  0.4817975  0.0000179
 3.230  0.4815410  0.0000181
 3.250  0.4813479  0.0000181
 3.270  0.4811895  0.0000181
 3.290  0.4811071  0.0000183
 3.310  0.4810668  0.0000179
 3.330  0.4810940  0.0000184
 3.350  0.4811570  0.0000179
 3.370  0.4812674  0.0000181
 3.390  0.4814366  0.0000180
 3.410  0.4816135  0.0000181
 3.430  0.4818370  0.0000180
 3.450  0.4820929  0.0000180
 3.470  0.4823440  0.0000181
 3.490  0.4826426  0.0000182
 3.510  0.4829251  0.0000180
 3.530  0.4832215  0.0000181
 3.550  0.4835171  0.0000181
 3.570  0.4838093  0.0000184
 3.590  0.4840892  0.0000184
 3.610  0.4843549  0.0000178
 3.630  0.4846068  0.0000181
 3.650  0.4848324  0.0000183
 3.670  0.4850525  0.0000179
 3.690  0.4852540  0.0000181
 3.710  0.4854047  0.0000182
 3.730  0.4855515  0.0000180
 3.750  0.4856854  0.0000183
 3.770  0.4857748  0.0000183
 3.790  0.4858497  0.0000183
 3.810  0.4858813  0.0000187
 3.830  0.4858801  0.0000181
 3.850  0.4859051  0.0000186
 3.870  0.4858809  0.0000184
 3.890  0.4858418  0.0000180
 3.910  0.4858076  0.0000180
 3.930  0.4857208  0.0000183
 3.950  0.4856416  0.0000181
 3.970  0.4855664  0.0000180
 3.990  0.4854647  0.0000182
 4.010  0.4853614  0.0000183
 4.030  0.4852558  0.0000183
 4.050  0.4851352  0.0000181
 4.070  0.4850190  0.0000182
 4.090  0.4849118  0.0000182
 4.110  0.4847942  0.0000183
 4.130  0.4846929  0.0000181
 4.150  0.4845895  0.0000183
 4.170  0.4844744  0.0000179
 4.190  0.4844116  0.0000181
 4.210  0.4843272  0.0000183
 4.230  0.4842409  0.0000181
 4.250  0.4841774  0.0000181
 4.270  0.4841272  0.0000180
 4.290  0.4840925  0.0000181
 4.310  0.4840434  0.0000183
 4.330  0.4840207  0.0000181
 4.350  0.4840182  0.0000177
 4.370  0.4840067  0.0000178
 4.390  0.4840026  0.0000177
 4.410  0.4840099  0.0000179
 4.430  0.4840261  0.0000181
 4.450  0.4840530  0.0000179
 4.470  0.4840588  0.0000179
 4.490  0.4840854  0.0000182
 4.510  0.4841332  0.0000179
 4.530  0.4841723  0.0000180
 4.550  0.4842125  0.0000179
 4.570  0.4842590  0.0000180
 4.590  0.4842959  0.0000181
 4.610  0.4843454  0.0000180
 4.630  0.4844034  0.0000180
 4.650  0.4844394  0.0000183
 4.670  0.4844831  0.0000187
 4.690  0.4845274  0.0000179
 4.710  0.4845582  0.0000183
 4.730  0.4845976  0.0000179
 4.750  0.4846328  0.0000181
 4.770  0.4846527  0.0000179
 4.790  0.4846707  0.0000182
 4.810  0.4847028  0.0000182
 4.830  0.4847180  0.0000179
 4.850  0.4847420  0.0000180
 4.870  0.4847482  0.0000182
 4.890  0.4847422  0.0000182
 4.910  0.4847547  0.0000181
 4.930  0.4847618  0.0000178
 4.950  0.4847459  0.0000180
 4.970  0.4847294  0.0000180
 4.990  0.4847209  0.0000183
 5.010  0.4847093  0.0000184
 5.030  0.4847007  0.0000183
 5.050  0.4846945  0.0000179
 5.070  0.4846775  0.0000176
 5.090  0.4846546  0.0000181
 5.110  0.4846396  0.0000182
 5.130  0.4846328  0.0000181
 5.150  0.4845990  0.0000182
 5.170  0.4845833  0.0000179
 5.190  0.4845769  0.0000182
 5.210  0.4845641  0.0000178
 5.230  0.4845398  0.0000181
 5.250  0.4845185  0.0000181
 5.270  0.4845271  0.0000180
 5.290  0.4844974  0.0000179
 5.310  0.4845115  0.0000181
 5.330  0.4844673  0.0000179
 5.350  0.4844772  0.0000181
 5.370  0.4844712  0.0000180
 5.390  0.4844606  0.0000181
 5.410  0.4844567  0.0000176
 5.430  0.4844503  0.0000180
 5.450  0.4844611  0.0000180
 5.470  0.4844664  0.0000182
 5.490  0.4844513  0.0000180
 5.510  0.4844661  0.0000177
 5.530  0.4844621  0.0000178
 5.550  0.4844642  0.0000180
 5.570  0.4844784  0.0000179
 5.590  0.4844885  0.0000179
 5.610  0.4844880  0.0000180
 5.630  0.4844901  0.0000179
 5.650  0.4844860  0.0000180
 5.670  0.4845025  0.0000179
 5.690  0.4845080  0.0000178
 5.710  0.4845135  0.0000179
 5.730  0.4845244  0.0000180
 5.750  0.4845117  0.0000179
 5.770  0.4845258  0.0000177
 5.790  0.4845481  0.0000178
 5.810  0.4845444  0.0000179
 5.830  0.4845505  0.0000178
 5.850  0.4845548  0.0000181
 5.870  0.4845469  0.0000179
 5.890  0.4845523  0.0000179
 5.910  0.4845581  0.0000180
 5.930  0.4845567  0.0000180
 5.950  0.4845675  0.0000183
 5.970  0.4845674  0.0000180
 5.990  0.4845605  0.0000179
 6.010  0.4845756  0.0000180
 6.030  0.4845730  0.0000182
 6.050  0.4845681  0.0000175
 6.070  0.4845578  0.0000180
 6.090  0.4845577  0.0000181
 6.110  0.4845555  0.0000177
 6.130  0.4845554  0.0000177
 6.150  0.4845513  0.0000180
 6.170  0.4845542  0.0000176
 6.190  0.4845530  0.0000178
 6.210  0.4845301  0.0000178
 6.230  0.4845350  0.0000181
 6.250  0.4845447  0.0000180
 6.270  0.4845449  0.0000180
 6.290  0.4845431  0.0000177
 6.310  0.4845451  0.0000179
 6.330  0.4845261  0.0000180
 6.350  0.4845284  0.0000179
 6.370  0.4845265  0.0000182
 6.390  0.4845334  0.0000180
 6.410  0.4845372  0.0000180
 6.430  0.4845224  0.0000180
 6.450  0.4845270  0.0000180
 6.470  0.4845307  0.0000179
 6.490  0.4845256  0.0000178
 6.510  0.4845184  0.0000179
 6.530  0.4845386  0.0000181
 6.550  0.4845317  0.0000180
 6.570  0.4845312  0.0000182
 6.590  0.4845280  0.0000179
 6.610  0.4845345  0.0000178
 6.630  0.4845287  0.0000179
 6.650  0.4845297  0.0000180
 6.670  0.4845373  0.0000182
 6.690  0.4845298  0.0000181
 6.710  0.4845347  0.0000182
 6.730  0.4845168  0.0000180
 6.750  0.4845275  0.0000180
 6.770  0.4845228  0.0000177
 6.790  0.4845309  0.0000181
 6.810  0.4845248  0.0000176
 6.830  0.4845349  0.0000178
 6.850  0.4845324  0.0000177
 6.870  0.4845296  0.0000179
 6.890  0.4845412  0.0000179
 6.910  0.4845292  0.0000175
