% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.70078165(0.00000293)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  3.7543085  0.0001878
 0.530  3.2698767  0.0001530
 0.550  2.8546749  0.0001282
 0.570  2.4986631  0.0001072
 0.590  2.1929623  0.0000924
 0.610  1.9302458  0.0000798
 0.630  1.7044568  0.0000710
 0.650  1.5098530  0.0000669
 0.670  1.3422220  0.0000621
 0.690  1.1976265  0.0000583
 0.710  1.0726264  0.0000560
 0.730  0.9646101  0.0000532
 0.750  0.8711540  0.0000507
 0.770  0.7901845  0.0000489
 0.790  0.7200606  0.0000473
 0.810  0.6592646  0.0000454
 0.830  0.6065577  0.0000443
 0.850  0.5609323  0.0000420
 0.870  0.5215091  0.0000413
 0.890  0.4874595  0.0000403
 0.910  0.4582073  0.0000388
 0.930  0.4331748  0.0000377
 0.950  0.4119227  0.0000373
 0.970  0.3940790  0.0000368
 0.990  0.3793644  0.0000354
 1.010  0.3675033  0.0000354
 1.030  0.3583127  0.0000352
 1.050  0.3516432  0.0000344
 1.070  0.3474103  0.0000344
 1.090  0.3455326  0.0000340
 1.110  0.3460356  0.0000338
 1.130  0.3489446  0.0000342
 1.150  0.3543193  0.0000349
 1.170  0.3622934  0.0000350
 1.190  0.3729875  0.0000358
 1.210  0.3866957  0.0000359
 1.230  0.4036505  0.0000372
 1.250  0.4241440  0.0000374
 1.270  0.4485735  0.0000400
 1.290  0.4773881  0.0000404
 1.310  0.5108371  0.0000420
 1.330  0.5495006  0.0000441
 1.350  0.5935853  0.0000471
 1.370  0.6431678  0.0000492
 1.390  0.6977321  0.0000536
 1.410  0.7558864  0.0000551
 1.430  0.8155218  0.0000581
 1.450  0.8744027  0.0000623
 1.470  0.9307192  0.0000632
 1.490  0.9828855  0.0000659
 1.510  1.0267341  0.0000662
 1.530  1.0516409  0.0000664
 1.550  1.0589684  0.0000640
 1.570  1.0532432  0.0000640
 1.590  1.0376837  0.0000616
 1.610  1.0151697  0.0000599
 1.630  0.9879103  0.0000584
 1.650  0.9575533  0.0000565
 1.670  0.9254464  0.0000554
 1.690  0.8927105  0.0000539
 1.710  0.8601011  0.0000516
 1.730  0.8282547  0.0000513
 1.750  0.7975791  0.0000502
 1.770  0.7683927  0.0000486
 1.790  0.7409146  0.0000488
 1.810  0.7152955  0.0000470
 1.830  0.6916027  0.0000468
 1.850  0.6699323  0.0000462
 1.870  0.6503300  0.0000449
 1.890  0.6326470  0.0000446
 1.910  0.6170403  0.0000446
 1.930  0.6033605  0.0000442
 1.950  0.5916013  0.0000439
 1.970  0.5817735  0.0000431
 1.990  0.5737707  0.0000431
 2.010  0.5675866  0.0000429
 2.030  0.5631688  0.0000425
 2.050  0.5605595  0.0000424
 2.070  0.5596782  0.0000434
 2.090  0.5604436  0.0000430
 2.110  0.5629116  0.0000437
 2.130  0.5670371  0.0000433
 2.150  0.5728226  0.0000440
 2.170  0.5800886  0.0000433
 2.190  0.5889496  0.0000448
 2.210  0.5992337  0.0000453
 2.230  0.6108698  0.0000455
 2.250  0.6237762  0.0000462
 2.270  0.6377732  0.0000463
 2.290  0.6526653  0.0000481
 2.310  0.6682662  0.0000483
 2.330  0.6842706  0.0000485
 2.350  0.7004005  0.0000505
 2.370  0.7162657  0.0000507
 2.390  0.7316447  0.0000504
 2.410  0.7461621  0.0000519
 2.430  0.7593986  0.0000530
 2.450  0.7710885  0.0000533
 2.470  0.7810027  0.0000532
 2.490  0.7888801  0.0000533
 2.510  0.7945421  0.0000539
 2.530  0.7979753  0.0000538
 2.550  0.7991780  0.0000533
 2.570  0.7982716  0.0000536
 2.590  0.7954880  0.0000520
 2.610  0.7910102  0.0000522
 2.630  0.7850973  0.0000516
 2.650  0.7780087  0.0000515
 2.670  0.7700623  0.0000514
 2.690  0.7613946  0.0000501
 2.710  0.7522840  0.0000497
 2.730  0.7429285  0.0000495
 2.750  0.7334784  0.0000482
 2.770  0.7241643  0.0000479
 2.790  0.7149796  0.0000487
 2.810  0.7061462  0.0000480
 2.830  0.6978259  0.0000471
 2.850  0.6899781  0.0000469
 2.870  0.6827134  0.0000474
 2.890  0.6761418  0.0000459
 2.910  0.6702557  0.0000464
 2.930  0.6651216  0.0000460
 2.950  0.6607475  0.0000463
 2.970  0.6570761  0.0000465
 2.990  0.6543227  0.0000468
 3.010  0.6522775  0.0000465
 3.030  0.6510549  0.0000469
 3.050  0.6505523  0.0000460
 3.070  0.6508602  0.0000455
 3.090  0.6518915  0.0000466
 3.110  0.6535560  0.0000465
 3.130  0.6559318  0.0000467
 3.150  0.6588936  0.0000465
 3.170  0.6623509  0.0000473
 3.190  0.6663448  0.0000465
 3.210  0.6707473  0.0000467
 3.230  0.6754812  0.0000477
