% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.88372023(0.00000468)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  7.9740792  0.0004394
 0.530  6.2378937  0.0003186
 0.550  4.9019004  0.0002492
 0.570  3.8709213  0.0001991
 0.590  3.0731854  0.0001695
 0.610  2.4541509  0.0001571
 0.630  1.9722556  0.0001381
 0.650  1.5958363  0.0001292
 0.670  1.3010460  0.0001176
 0.690  1.0690781  0.0001076
 0.710  0.8862002  0.0000999
 0.730  0.7412413  0.0000926
 0.750  0.6260201  0.0000855
 0.770  0.5340770  0.0000799
 0.790  0.4605250  0.0000742
 0.810  0.4013763  0.0000714
 0.830  0.3537883  0.0000662
 0.850  0.3155018  0.0000627
 0.870  0.2846566  0.0000607
 0.890  0.2599293  0.0000570
 0.910  0.2402365  0.0000569
 0.930  0.2248538  0.0000549
 0.950  0.2130640  0.0000536
 0.970  0.2045466  0.0000530
 0.990  0.1988738  0.0000525
 1.010  0.1959598  0.0000519
 1.030  0.1957816  0.0000523
 1.050  0.1983471  0.0000534
 1.070  0.2036987  0.0000552
 1.090  0.2123231  0.0000560
 1.110  0.2244742  0.0000585
 1.130  0.2409192  0.0000591
 1.150  0.2623938  0.0000624
 1.170  0.2900895  0.0000662
 1.190  0.3253649  0.0000712
 1.210  0.3701310  0.0000742
 1.230  0.4264938  0.0000798
 1.250  0.4971541  0.0000853
 1.270  0.5850718  0.0000927
 1.290  0.6934095  0.0001005
 1.310  0.8253006  0.0001105
 1.330  0.9828687  0.0001256
 1.350  1.1664194  0.0001359
 1.370  1.3703145  0.0001522
 1.390  1.5792497  0.0001707
 1.410  1.7678880  0.0001817
 1.430  1.9125352  0.0001885
 1.450  2.0006451  0.0001839
 1.470  2.0300925  0.0001772
 1.490  2.0066876  0.0001720
 1.510  1.9361466  0.0001616
 1.530  1.8196326  0.0001518
 1.550  1.6780587  0.0001427
 1.570  1.5288783  0.0001343
 1.590  1.3827575  0.0001274
 1.610  1.2458164  0.0001242
 1.630  1.1209453  0.0001185
 1.650  1.0090029  0.0001140
 1.670  0.9104394  0.0001092
 1.690  0.8244336  0.0001045
 1.710  0.7501258  0.0000975
 1.730  0.6861933  0.0000961
 1.750  0.6318021  0.0000918
 1.770  0.5858584  0.0000892
 1.790  0.5472110  0.0000853
 1.810  0.5154323  0.0000844
 1.830  0.4895067  0.0000807
 1.850  0.4689634  0.0000810
 1.870  0.4532637  0.0000791
 1.890  0.4423053  0.0000782
 1.910  0.4354990  0.0000796
 1.930  0.4327814  0.0000780
 1.950  0.4342587  0.0000775
 1.970  0.4396094  0.0000804
 1.990  0.4492017  0.0000806
 2.010  0.4630141  0.0000817
 2.030  0.4812785  0.0000843
 2.050  0.5044726  0.0000853
 2.070  0.5328553  0.0000886
 2.090  0.5665801  0.0000909
 2.110  0.6062111  0.0000913
 2.130  0.6520649  0.0000967
 2.150  0.7041041  0.0001024
 2.170  0.7624032  0.0001054
 2.190  0.8264998  0.0001115
 2.210  0.8955646  0.0001166
 2.230  0.9680733  0.0001228
 2.250  1.0421581  0.0001288
 2.270  1.1153137  0.0001330
 2.290  1.1840845  0.0001370
 2.310  1.2458622  0.0001446
 2.330  1.2970871  0.0001457
 2.350  1.3357023  0.0001442
 2.370  1.3600158  0.0001444
 2.390  1.3692330  0.0001421
 2.410  1.3638856  0.0001380
 2.430  1.3446615  0.0001344
 2.450  1.3139949  0.0001323
 2.470  1.2736010  0.0001286
 2.490  1.2259534  0.0001234
 2.510  1.1736369  0.0001210
 2.530  1.1186588  0.0001194
 2.550  1.0627744  0.0001168
 2.570  1.0078818  0.0001127
 2.590  0.9550518  0.0001112
 2.610  0.9052615  0.0001083
 2.630  0.8591551  0.0001067
 2.650  0.8170231  0.0001035
 2.670  0.7791314  0.0001029
 2.690  0.7455889  0.0000997
 2.710  0.7162380  0.0000972
 2.730  0.6911015  0.0000972
 2.750  0.6700401  0.0000943
 2.770  0.6529348  0.0000935
 2.790  0.6395702  0.0000939
 2.810  0.6299530  0.0000927
 2.830  0.6238478  0.0000907
 2.850  0.6211865  0.0000911
 2.870  0.6220088  0.0000909
 2.890  0.6261953  0.0000915
 2.910  0.6337392  0.0000917
 2.930  0.6445853  0.0000938
 2.950  0.6586160  0.0000932
 2.970  0.6759603  0.0000958
 2.990  0.6964491  0.0000957
 3.010  0.7200605  0.0000987
 3.030  0.7465958  0.0001035
 3.050  0.7757515  0.0001033
 3.070  0.8072158  0.0001064
 3.090  0.8404234  0.0001080
 3.110  0.8750249  0.0001113
 3.130  0.9101912  0.0001135
 3.150  0.9450443  0.0001191
 3.170  0.9788749  0.0001191
 3.190  1.0106620  0.0001209
 3.210  1.0393927  0.0001223
 3.230  1.0642663  0.0001239
 3.250  1.0847758  0.0001259
 3.270  1.0998801  0.0001246
 3.290  1.1097879  0.0001232
 3.310  1.1139887  0.0001239
 3.330  1.1127106  0.0001211
 3.350  1.1061146  0.0001200
 3.370  1.0947179  0.0001182
 3.390  1.0791281  0.0001172
 3.410  1.0601001  0.0001181
 3.430  1.0381728  0.0001139
 3.450  1.0142874  0.0001126
 3.470  0.9890086  0.0001115
 3.490  0.9631239  0.0001087
 3.510  0.9372019  0.0001095
 3.530  0.9116495  0.0001072
 3.550  0.8870352  0.0001068
 3.570  0.8637054  0.0001056
 3.590  0.8419667  0.0001056
 3.610  0.8220011  0.0001042
 3.630  0.8040813  0.0001012
 3.650  0.7881499  0.0001011
 3.670  0.7745225  0.0001006
 3.690  0.7631666  0.0000989
 3.710  0.7541335  0.0000994
 3.730  0.7473239  0.0000992
 3.750  0.7428562  0.0000961
 3.770  0.7406494  0.0000999
 3.790  0.7407349  0.0000964
 3.810  0.7430151  0.0000988
 3.830  0.7474674  0.0000974
 3.850  0.7539103  0.0000996
 3.870  0.7623359  0.0000990
 3.890  0.7727616  0.0001011
 3.910  0.7846467  0.0001005
 3.930  0.7983488  0.0001020
 3.950  0.8132773  0.0001039
 3.970  0.8293796  0.0001062
 3.990  0.8464427  0.0001071
 4.010  0.8639381  0.0001089
 4.030  0.8817406  0.0001097
 4.050  0.8993272  0.0001129
 4.070  0.9165709  0.0001124
 4.090  0.9328776  0.0001122
 4.110  0.9479900  0.0001136
 4.130  0.9614873  0.0001153
 4.150  0.9731187  0.0001155
 4.170  0.9827255  0.0001152
 4.190  0.9900724  0.0001160
 4.210  0.9948808  0.0001140
 4.230  0.9973611  0.0001160
 4.250  0.9972275  0.0001138
 4.270  0.9947890  0.0001136
 4.290  0.9902246  0.0001126
 4.310  0.9836283  0.0001123
 4.330  0.9752506  0.0001121
 4.350  0.9653751  0.0001109
 4.370  0.9543930  0.0001098
 4.390  0.9424751  0.0001087
 4.410  0.9299767  0.0001081
 4.430  0.9170803  0.0001065
 4.450  0.9040116  0.0001071
 4.470  0.8913354  0.0001052
 4.490  0.8789488  0.0001050
 4.510  0.8672688  0.0001051
 4.530  0.8562874  0.0001057
 4.550  0.8461378  0.0001045
 4.570  0.8370945  0.0001050
 4.590  0.8291343  0.0001024
 4.610  0.8222805  0.0001029
 4.630  0.8168920  0.0001014
 4.650  0.8128194  0.0001035
 4.670  0.8098973  0.0001009
 4.690  0.8083241  0.0001041
 4.710  0.8080553  0.0001009
 4.730  0.8090575  0.0001023
 4.750  0.8113183  0.0001017
 4.770  0.8148604  0.0001031
 4.790  0.8193479  0.0001045
 4.810  0.8249264  0.0001021
 4.830  0.8313469  0.0001020
 4.850  0.8386649  0.0001053
 4.870  0.8465614  0.0001041
 4.890  0.8550633  0.0001052
 4.910  0.8638471  0.0001078
 4.930  0.8729039  0.0001054
 4.950  0.8819898  0.0001090
 4.970  0.8909903  0.0001064
 4.990  0.8996076  0.0001074
 5.010  0.9078106  0.0001092
 5.030  0.9153958  0.0001112
 5.050  0.9220623  0.0001086
 5.070  0.9279512  0.0001115
 5.090  0.9328338  0.0001107
 5.110  0.9365505  0.0001099
 5.130  0.9391416  0.0001112
 5.150  0.9405737  0.0001099
 5.170  0.9409313  0.0001098
 5.190  0.9400090  0.0001112
 5.210  0.9382421  0.0001087
 5.230  0.9352494  0.0001093
 5.250  0.9314485  0.0001078
 5.270  0.9268304  0.0001083
 5.290  0.9215831  0.0001073
 5.310  0.9157869  0.0001075
 5.330  0.9096639  0.0001084
 5.350  0.9031130  0.0001084
 5.370  0.8966813  0.0001079
 5.390  0.8900824  0.0001063
 5.410  0.8836790  0.0001060
 5.430  0.8773746  0.0001064
 5.450  0.8715529  0.0001043
 5.470  0.8661178  0.0001052
 5.490  0.8611913  0.0001051
 5.510  0.8567445  0.0001056
 5.530  0.8530367  0.0001061
 5.550  0.8499088  0.0001045
 5.570  0.8473694  0.0001040
 5.590  0.8455490  0.0001052
 5.610  0.8445080  0.0001029
 5.630  0.8443002  0.0001037
 5.650  0.8446650  0.0001025
 5.670  0.8458157  0.0001042
 5.690  0.8474826  0.0001033
 5.710  0.8498236  0.0001045
 5.730  0.8526464  0.0001045
 5.750  0.8559647  0.0001044
 5.770  0.8597632  0.0001044
 5.790  0.8638144  0.0001052
 5.810  0.8682509  0.0001049
 5.830  0.8727746  0.0001058
 5.850  0.8774325  0.0001049
 5.870  0.8821317  0.0001057
 5.890  0.8867158  0.0001055
 5.910  0.8911249  0.0001091
 5.930  0.8951756  0.0001079
 5.950  0.8990853  0.0001067
 5.970  0.9025379  0.0001081
 5.990  0.9056060  0.0001073
 6.010  0.9080874  0.0001078
 6.030  0.9101366  0.0001090
 6.050  0.9116187  0.0001089
 6.070  0.9125030  0.0001079
 6.090  0.9126997  0.0001067
 6.110  0.9124320  0.0001100
 6.130  0.9117288  0.0001092
 6.150  0.9103057  0.0001098
 6.170  0.9086069  0.0001084
 6.190  0.9064368  0.0001071
 6.210  0.9038346  0.0001079
 6.230  0.9009927  0.0001072
 6.250  0.8980051  0.0001089
 6.270  0.8947447  0.0001058
 6.290  0.8914544  0.0001056
 6.310  0.8880651  0.0001056
 6.330  0.8847747  0.0001049
 6.350  0.8814883  0.0001069
 6.370  0.8784414  0.0001056
 6.390  0.8755626  0.0001057
 6.410  0.8728492  0.0001060
 6.430  0.8704332  0.0001067
 6.450  0.8683384  0.0001045
 6.470  0.8666524  0.0001051
 6.490  0.8652977  0.0001044
 6.510  0.8642427  0.0001050
 6.530  0.8637155  0.0001035
 6.550  0.8633749  0.0001039
 6.570  0.8635240  0.0001040
 6.590  0.8639292  0.0001052
 6.610  0.8648217  0.0001045
 6.630  0.8659616  0.0001045
 6.650  0.8673733  0.0001055
 6.670  0.8690954  0.0001060
 6.690  0.8709244  0.0001044
 6.710  0.8729978  0.0001050
 6.730  0.8752870  0.0001058
 6.750  0.8775999  0.0001064
 6.770  0.8799626  0.0001059
 6.790  0.8823415  0.0001053
 6.810  0.8847137  0.0001055
