% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.90652744(0.00000477)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  8.7596205  0.0004787
 0.530  6.7337584  0.0003519
 0.550  5.2000954  0.0002667
 0.570  4.0351621  0.0002175
 0.590  3.1483568  0.0001856
 0.610  2.4712886  0.0001650
 0.630  1.9526136  0.0001485
 0.650  1.5542356  0.0001328
 0.670  1.2469551  0.0001231
 0.690  1.0093122  0.0001134
 0.710  0.8246219  0.0001040
 0.730  0.6806135  0.0000959
 0.750  0.5677139  0.0000877
 0.770  0.4789398  0.0000831
 0.790  0.4088105  0.0000760
 0.810  0.3532490  0.0000714
 0.830  0.3090618  0.0000687
 0.850  0.2738624  0.0000658
 0.870  0.2459019  0.0000612
 0.890  0.2236458  0.0000595
 0.910  0.2061523  0.0000574
 0.930  0.1926210  0.0000552
 0.950  0.1824398  0.0000536
 0.970  0.1752195  0.0000543
 0.990  0.1706954  0.0000534
 1.010  0.1687840  0.0000532
 1.030  0.1693500  0.0000538
 1.050  0.1724788  0.0000551
 1.070  0.1785727  0.0000564
 1.090  0.1878064  0.0000581
 1.110  0.2007466  0.0000610
 1.130  0.2182358  0.0000631
 1.150  0.2411421  0.0000673
 1.170  0.2710135  0.0000694
 1.190  0.3096947  0.0000745
 1.210  0.3595203  0.0000804
 1.230  0.4235239  0.0000869
 1.250  0.5052546  0.0000945
 1.270  0.6083560  0.0001025
 1.290  0.7373339  0.0001132
 1.310  0.8960365  0.0001238
 1.330  1.0880302  0.0001420
 1.350  1.3124545  0.0001582
 1.370  1.5604547  0.0001784
 1.390  1.8094754  0.0001965
 1.410  2.0234559  0.0002087
 1.430  2.1723230  0.0002163
 1.450  2.2432270  0.0002105
 1.470  2.2384952  0.0002001
 1.490  2.1706321  0.0001868
 1.510  2.0518022  0.0001737
 1.530  1.8901175  0.0001650
 1.550  1.7105212  0.0001555
 1.570  1.5306508  0.0001461
 1.590  1.3613094  0.0001356
 1.610  1.2072667  0.0001341
 1.630  1.0704849  0.0001257
 1.650  0.9511061  0.0001217
 1.670  0.8480168  0.0001137
 1.690  0.7598415  0.0001095
 1.710  0.6850753  0.0001036
 1.730  0.6219313  0.0000989
 1.750  0.5691224  0.0000964
 1.770  0.5251870  0.0000920
 1.790  0.4892124  0.0000890
 1.810  0.4598367  0.0000867
 1.830  0.4366290  0.0000852
 1.850  0.4187630  0.0000844
 1.870  0.4059120  0.0000830
 1.890  0.3975771  0.0000823
 1.910  0.3936476  0.0000839
 1.930  0.3939953  0.0000833
 1.950  0.3985293  0.0000834
 1.970  0.4074050  0.0000860
 1.990  0.4208355  0.0000861
 2.010  0.4389969  0.0000891
 2.030  0.4624633  0.0000923
 2.050  0.4917698  0.0000931
 2.070  0.5272794  0.0000966
 2.090  0.5696197  0.0001006
 2.110  0.6195254  0.0001047
 2.130  0.6772746  0.0001123
 2.150  0.7431209  0.0001161
 2.170  0.8171763  0.0001200
 2.190  0.8985942  0.0001276
 2.210  0.9859892  0.0001342
 2.230  1.0773967  0.0001431
 2.250  1.1691022  0.0001507
 2.270  1.2577905  0.0001593
 2.290  1.3384008  0.0001634
 2.310  1.4067340  0.0001661
 2.330  1.4587410  0.0001690
 2.350  1.4919922  0.0001674
 2.370  1.5052589  0.0001625
 2.390  1.4987770  0.0001620
 2.410  1.4740638  0.0001597
 2.430  1.4335092  0.0001514
 2.450  1.3806569  0.0001472
 2.470  1.3189786  0.0001420
 2.490  1.2516343  0.0001373
 2.510  1.1813270  0.0001328
 2.530  1.1111668  0.0001311
 2.550  1.0427108  0.0001280
 2.570  0.9777029  0.0001235
 2.590  0.9170479  0.0001225
 2.610  0.8615368  0.0001178
 2.630  0.8115946  0.0001143
 2.650  0.7670608  0.0001113
 2.670  0.7280314  0.0001086
 2.690  0.6942509  0.0001062
 2.710  0.6657640  0.0001043
 2.730  0.6420968  0.0001038
 2.750  0.6229157  0.0001023
 2.770  0.6082959  0.0000997
 2.790  0.5977970  0.0000976
 2.810  0.5914703  0.0001001
 2.830  0.5891173  0.0000982
 2.850  0.5906238  0.0000985
 2.870  0.5960102  0.0000995
 2.890  0.6052799  0.0001009
 2.910  0.6184250  0.0001012
 2.930  0.6354351  0.0001022
 2.950  0.6563738  0.0001034
 2.970  0.6812565  0.0001069
 2.990  0.7099956  0.0001102
 3.010  0.7424883  0.0001135
 3.030  0.7786479  0.0001143
 3.050  0.8178506  0.0001182
 3.070  0.8597389  0.0001215
 3.090  0.9037078  0.0001235
 3.110  0.9486115  0.0001284
 3.130  0.9934350  0.0001328
 3.150  1.0370699  0.0001380
 3.170  1.0779942  0.0001394
 3.190  1.1148868  0.0001406
 3.210  1.1466957  0.0001414
 3.230  1.1720927  0.0001426
 3.250  1.1903717  0.0001439
 3.270  1.2011736  0.0001422
 3.290  1.2040822  0.0001418
 3.310  1.1995056  0.0001408
 3.330  1.1879785  0.0001393
 3.350  1.1701388  0.0001366
 3.370  1.1469960  0.0001348
 3.390  1.1195238  0.0001299
 3.410  1.0888847  0.0001321
 3.430  1.0561742  0.0001281
 3.450  1.0222799  0.0001251
 3.470  0.9881125  0.0001232
 3.490  0.9545111  0.0001206
 3.510  0.9220510  0.0001210
 3.530  0.8912639  0.0001181
 3.550  0.8624036  0.0001158
 3.570  0.8360516  0.0001153
 3.590  0.8121028  0.0001128
 3.610  0.7910340  0.0001104
 3.630  0.7726901  0.0001129
 3.650  0.7572122  0.0001096
 3.670  0.7448035  0.0001094
 3.690  0.7351192  0.0001092
 3.710  0.7283861  0.0001059
 3.730  0.7245085  0.0001072
 3.750  0.7233418  0.0001075
 3.770  0.7249586  0.0001084
 3.790  0.7292176  0.0001072
 3.810  0.7361767  0.0001079
 3.830  0.7456541  0.0001089
 3.850  0.7575805  0.0001101
 3.870  0.7718496  0.0001102
 3.890  0.7883838  0.0001121
 3.910  0.8068782  0.0001155
 3.930  0.8270332  0.0001136
 3.950  0.8487396  0.0001160
 3.970  0.8714734  0.0001182
 3.990  0.8948647  0.0001200
 4.010  0.9185296  0.0001220
 4.030  0.9418553  0.0001236
 4.050  0.9643510  0.0001259
 4.070  0.9855206  0.0001269
 4.090  1.0048779  0.0001288
 4.110  1.0218647  0.0001295
 4.130  1.0359810  0.0001303
 4.150  1.0470253  0.0001317
 4.170  1.0547240  0.0001309
 4.190  1.0590613  0.0001332
 4.210  1.0597955  0.0001314
 4.230  1.0572116  0.0001292
 4.250  1.0514205  0.0001277
 4.270  1.0428186  0.0001277
 4.290  1.0314747  0.0001272
 4.310  1.0182165  0.0001247
 4.330  1.0031451  0.0001244
 4.350  0.9867894  0.0001237
 4.370  0.9696827  0.0001213
 4.390  0.9520547  0.0001213
 4.410  0.9344167  0.0001186
 4.430  0.9169741  0.0001178
 4.450  0.9002389  0.0001178
 4.470  0.8842956  0.0001175
 4.490  0.8695527  0.0001179
 4.510  0.8559537  0.0001157
 4.530  0.8437894  0.0001138
 4.550  0.8330704  0.0001147
 4.570  0.8240155  0.0001134
 4.590  0.8165832  0.0001124
 4.610  0.8109486  0.0001127
 4.630  0.8070883  0.0001108
 4.650  0.8049393  0.0001126
 4.670  0.8044189  0.0001107
 4.690  0.8056573  0.0001110
 4.710  0.8086428  0.0001119
 4.730  0.8131445  0.0001125
 4.750  0.8191709  0.0001131
 4.770  0.8265312  0.0001131
 4.790  0.8352214  0.0001133
 4.810  0.8449620  0.0001132
 4.830  0.8557727  0.0001162
 4.850  0.8673680  0.0001165
 4.870  0.8794890  0.0001157
 4.890  0.8920652  0.0001188
 4.910  0.9046254  0.0001207
 4.930  0.9172310  0.0001199
 4.950  0.9292717  0.0001218
 4.970  0.9407685  0.0001201
 4.990  0.9513877  0.0001228
 5.010  0.9609610  0.0001219
 5.030  0.9691387  0.0001262
 5.050  0.9759593  0.0001250
 5.070  0.9811510  0.0001241
 5.090  0.9847606  0.0001241
 5.110  0.9866338  0.0001219
 5.130  0.9867977  0.0001219
 5.150  0.9853101  0.0001214
 5.170  0.9823836  0.0001217
 5.190  0.9778914  0.0001193
 5.210  0.9722629  0.0001220
 5.230  0.9653532  0.0001203
 5.250  0.9575986  0.0001185
 5.270  0.9493303  0.0001177
 5.290  0.9403177  0.0001188
 5.310  0.9310770  0.0001165
 5.330  0.9218184  0.0001174
 5.350  0.9125728  0.0001163
 5.370  0.9034017  0.0001175
 5.390  0.8947610  0.0001154
 5.410  0.8866583  0.0001166
 5.430  0.8790682  0.0001162
 5.450  0.8722709  0.0001154
 5.470  0.8664006  0.0001164
 5.490  0.8614123  0.0001149
 5.510  0.8572208  0.0001116
 5.530  0.8540932  0.0001162
 5.550  0.8519514  0.0001147
 5.570  0.8508026  0.0001146
 5.590  0.8507904  0.0001166
 5.610  0.8516349  0.0001137
 5.630  0.8533661  0.0001149
 5.650  0.8561221  0.0001134
 5.670  0.8596009  0.0001133
 5.690  0.8639318  0.0001143
 5.710  0.8689031  0.0001143
 5.730  0.8744396  0.0001129
 5.750  0.8805414  0.0001165
 5.770  0.8869322  0.0001195
 5.790  0.8935708  0.0001182
 5.810  0.9004270  0.0001175
 5.830  0.9070785  0.0001174
 5.850  0.9136108  0.0001170
 5.870  0.9200773  0.0001180
 5.890  0.9259619  0.0001188
 5.910  0.9314668  0.0001206
 5.930  0.9363037  0.0001197
 5.950  0.9403677  0.0001180
 5.970  0.9437662  0.0001203
 5.990  0.9463953  0.0001198
 6.010  0.9480524  0.0001211
 6.030  0.9490519  0.0001194
 6.050  0.9488774  0.0001188
 6.070  0.9481275  0.0001202
 6.090  0.9465024  0.0001198
 6.110  0.9441461  0.0001206
 6.130  0.9412649  0.0001187
 6.150  0.9376705  0.0001173
 6.170  0.9335209  0.0001189
 6.190  0.9292391  0.0001176
 6.210  0.9244730  0.0001168
 6.230  0.9195338  0.0001177
 6.250  0.9145608  0.0001169
 6.270  0.9095917  0.0001174
 6.290  0.9048547  0.0001153
 6.310  0.9001029  0.0001168
 6.330  0.8956907  0.0001155
 6.350  0.8916101  0.0001140
 6.370  0.8879344  0.0001153
 6.390  0.8847341  0.0001137
 6.410  0.8819575  0.0001144
 6.430  0.8796788  0.0001134
 6.450  0.8780053  0.0001148
 6.470  0.8768897  0.0001164
 6.490  0.8763430  0.0001157
 6.510  0.8762637  0.0001151
 6.530  0.8768700  0.0001164
 6.550  0.8779367  0.0001145
 6.570  0.8794495  0.0001150
 6.590  0.8814567  0.0001152
 6.610  0.8837930  0.0001145
 6.630  0.8866627  0.0001153
 6.650  0.8896887  0.0001152
 6.670  0.8930913  0.0001163
 6.690  0.8966115  0.0001170
 6.710  0.9001781  0.0001152
 6.730  0.9038056  0.0001184
 6.750  0.9073821  0.0001147
 6.770  0.9109204  0.0001158
 6.790  0.9142150  0.0001178
 6.810  0.9173336  0.0001167
 6.830  0.9202349  0.0001180
 6.850  0.9227322  0.0001182
 6.870  0.9248880  0.0001172
 6.890  0.9265869  0.0001197
 6.910  0.9277922  0.0001169
 6.930  0.9287940  0.0001178
 6.950  0.9291630  0.0001172
 6.970  0.9290911  0.0001179
 6.990  0.9286187  0.0001169
 7.010  0.9276791  0.0001166
 7.030  0.9264794  0.0001179
 7.050  0.9249328  0.0001172
 7.070  0.9230664  0.0001170
 7.090  0.9208889  0.0001169
 7.110  0.9184648  0.0001159
 7.130  0.9160068  0.0001166
 7.150  0.9133637  0.0001158
 7.170  0.9107524  0.0001151
 7.190  0.9080962  0.0001160
 7.210  0.9054390  0.0001178
 7.230  0.9028836  0.0001166
 7.250  0.9004592  0.0001187
 7.270  0.8983489  0.0001174
 7.290  0.8964139  0.0001161
 7.310  0.8946413  0.0001167
 7.330  0.8932146  0.0001169
 7.350  0.8919339  0.0001140
 7.370  0.8910137  0.0001154
 7.390  0.8905089  0.0001143
 7.410  0.8902697  0.0001155
 7.430  0.8902062  0.0001145
 7.450  0.8905619  0.0001149
 7.470  0.8911913  0.0001149
 7.490  0.8921015  0.0001160
 7.510  0.8932071  0.0001160
 7.530  0.8945871  0.0001146
 7.550  0.8961010  0.0001162
 7.570  0.8976997  0.0001163
 7.590  0.8995188  0.0001164
 7.610  0.9013677  0.0001165
 7.630  0.9033681  0.0001175
 7.650  0.9052378  0.0001153
 7.670  0.9071771  0.0001184
 7.690  0.9091819  0.0001188
 7.710  0.9108776  0.0001175
 7.730  0.9125176  0.0001194
 7.750  0.9140130  0.0001176
 7.770  0.9153943  0.0001170
 7.790  0.9165119  0.0001195
 7.810  0.9173540  0.0001179
 7.830  0.9180198  0.0001167
 7.850  0.9184306  0.0001192
 7.870  0.9185770  0.0001176
 7.890  0.9185939  0.0001176
 7.910  0.9183029  0.0001174
 7.930  0.9178631  0.0001155
 7.950  0.9171482  0.0001187
 7.970  0.9162764  0.0001166
 7.990  0.9151935  0.0001167
 8.010  0.9141431  0.0001176
 8.030  0.9129614  0.0001180
 8.050  0.9115323  0.0001165
 8.070  0.9100979  0.0001169
 8.090  0.9086412  0.0001179
 8.110  0.9073268  0.0001167
 8.130  0.9058725  0.0001186
 8.150  0.9045008  0.0001167
 8.170  0.9031348  0.0001154
 8.190  0.9020403  0.0001169
 8.210  0.9009504  0.0001155
 8.230  0.9000243  0.0001139
 8.250  0.8991812  0.0001161
 8.270  0.8986337  0.0001145
 8.290  0.8982234  0.0001148
 8.310  0.8978758  0.0001152
 8.330  0.8977711  0.0001156
 8.350  0.8977367  0.0001161
 8.370  0.8978856  0.0001157
 8.390  0.8982645  0.0001149
 8.410  0.8988307  0.0001155
 8.430  0.8994395  0.0001152
 8.450  0.9002241  0.0001175
 8.470  0.9009976  0.0001167
 8.490  0.9018704  0.0001169
 8.510  0.9028577  0.0001160
 8.530  0.9039422  0.0001156
 8.550  0.9049950  0.0001167
 8.570  0.9060133  0.0001162
 8.590  0.9070379  0.0001174
 8.610  0.9081170  0.0001165
 8.630  0.9090157  0.0001191
 8.650  0.9098277  0.0001181
 8.670  0.9106651  0.0001163
 8.690  0.9114097  0.0001184
 8.710  0.9119227  0.0001167
 8.730  0.9123825  0.0001168
 8.750  0.9128067  0.0001171
 8.770  0.9129546  0.0001159
 8.790  0.9130405  0.0001170
 8.810  0.9130123  0.0001152
 8.830  0.9128559  0.0001175
 8.850  0.9126434  0.0001170
 8.870  0.9121152  0.0001161
 8.890  0.9117396  0.0001186
 8.910  0.9111390  0.0001160
 8.930  0.9104947  0.0001164
 8.950  0.9098306  0.0001167
 8.970  0.9091300  0.0001171
 8.990  0.9082987  0.0001156
 9.010  0.9076058  0.0001179
 9.030  0.9068143  0.0001185
 9.050  0.9060732  0.0001151
 9.070  0.9054157  0.0001153
 9.090  0.9046739  0.0001176
 9.110  0.9040318  0.0001174
 9.130  0.9034994  0.0001159
 9.150  0.9030260  0.0001167
 9.170  0.9025463  0.0001165
 9.190  0.9022471  0.0001157
 9.210  0.9020025  0.0001142
 9.230  0.9018561  0.0001153
 9.250  0.9017824  0.0001161
 9.270  0.9017538  0.0001158
 9.290  0.9018608  0.0001156
 9.310  0.9021075  0.0001163
 9.330  0.9024193  0.0001198
 9.350  0.9027374  0.0001160
 9.370  0.9031661  0.0001164
 9.390  0.9035605  0.0001176
 9.410  0.9040646  0.0001156
 9.430  0.9045961  0.0001152
 9.450  0.9052110  0.0001156
 9.470  0.9057094  0.0001173
 9.490  0.9062892  0.0001166
 9.510  0.9068718  0.0001172
 9.530  0.9073434  0.0001176
 9.550  0.9078168  0.0001176
 9.570  0.9083925  0.0001164
 9.590  0.9087166  0.0001167
 9.610  0.9091159  0.0001182
 9.630  0.9093852  0.0001179
 9.650  0.9096680  0.0001173
 9.670  0.9099052  0.0001164
 9.690  0.9099349  0.0001167
 9.710  0.9100072  0.0001146
 9.730  0.9099916  0.0001144
 9.750  0.9099169  0.0001193
 9.770  0.9098415  0.0001151
 9.790  0.9095962  0.0001152
 9.810  0.9094063  0.0001173
 9.830  0.9090751  0.0001164
 9.850  0.9087973  0.0001153
 9.870  0.9083234  0.0001186
 9.890  0.9079664  0.0001191
 9.910  0.9075840  0.0001178
 9.930  0.9071915  0.0001183
 9.950  0.9066602  0.0001158
 9.970  0.9062990  0.0001174
 9.990  0.9058388  0.0001177
10.010  0.9054703  0.0001159
10.030  0.9051710  0.0001175
10.050  0.9048118  0.0001184
10.070  0.9045854  0.0001166
10.090  0.9043375  0.0001168
10.110  0.9041389  0.0001163
10.130  0.9040618  0.0001167
10.150  0.9039733  0.0001152
10.170  0.9038973  0.0001153
10.190  0.9039510  0.0001159
10.210  0.9040535  0.0001154
10.230  0.9041453  0.0001174
10.250  0.9042894  0.0001150
10.270  0.9044984  0.0001169
10.290  0.9046618  0.0001154
10.310  0.9049613  0.0001166
10.330  0.9051575  0.0001191
10.350  0.9055024  0.0001158
10.370  0.9058028  0.0001177
10.390  0.9060237  0.0001167
10.410  0.9064565  0.0001164
10.430  0.9067247  0.0001172
10.450  0.9069010  0.0001168
10.470  0.9072775  0.0001182
10.490  0.9075242  0.0001165
10.510  0.9077239  0.0001143
10.530  0.9079351  0.0001159
10.550  0.9081117  0.0001175
10.570  0.9082556  0.0001176
10.590  0.9084004  0.0001162
10.610  0.9084546  0.0001153
10.630  0.9084117  0.0001152
10.650  0.9084349  0.0001134
10.670  0.9084097  0.0001165
10.690  0.9083422  0.0001171
10.710  0.9082859  0.0001156
10.730  0.9080780  0.0001189
10.750  0.9080287  0.0001175
10.770  0.9077391  0.0001186
10.790  0.9074747  0.0001170
10.810  0.9073042  0.0001160
10.830  0.9070396  0.0001167
10.850  0.9068088  0.0001162
10.870  0.9066041  0.0001180
10.890  0.9063793  0.0001177
10.910  0.9060957  0.0001171
10.930  0.9059264  0.0001171
10.950  0.9056829  0.0001167
10.970  0.9056175  0.0001165
10.990  0.9055040  0.0001158
11.010  0.9053527  0.0001171
11.030  0.9052501  0.0001153
11.050  0.9051118  0.0001140
11.070  0.9051057  0.0001181
11.090  0.9051039  0.0001169
11.110  0.9051617  0.0001161
11.130  0.9051326  0.0001158
11.150  0.9051648  0.0001153
