% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.82910036(0.00000410)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  6.3731361  0.0003407
 0.530  5.1780036  0.0002601
 0.550  4.2241360  0.0001982
 0.570  3.4609979  0.0001673
 0.590  2.8491887  0.0001418
 0.610  2.3571103  0.0001240
 0.630  1.9606922  0.0001132
 0.650  1.6401427  0.0001052
 0.670  1.3804009  0.0000980
 0.690  1.1691468  0.0000921
 0.710  0.9971968  0.0000851
 0.730  0.8565621  0.0000797
 0.750  0.7414073  0.0000751
 0.770  0.6467081  0.0000700
 0.790  0.5687576  0.0000663
 0.810  0.5044572  0.0000637
 0.830  0.4513974  0.0000600
 0.850  0.4076262  0.0000571
 0.870  0.3715124  0.0000548
 0.890  0.3418329  0.0000536
 0.910  0.3175396  0.0000520
 0.930  0.2980074  0.0000508
 0.950  0.2824855  0.0000490
 0.970  0.2705818  0.0000481
 0.990  0.2619288  0.0000485
 1.010  0.2562448  0.0000477
 1.030  0.2534629  0.0000470
 1.050  0.2534910  0.0000480
 1.070  0.2563626  0.0000483
 1.090  0.2622260  0.0000480
 1.110  0.2713973  0.0000491
 1.130  0.2840880  0.0000504
 1.150  0.3007567  0.0000529
 1.170  0.3221363  0.0000543
 1.190  0.3489517  0.0000556
 1.210  0.3821893  0.0000581
 1.230  0.4229897  0.0000626
 1.250  0.4727729  0.0000643
 1.270  0.5329945  0.0000677
 1.290  0.6053722  0.0000733
 1.310  0.6914063  0.0000808
 1.330  0.7927592  0.0000853
 1.350  0.9093849  0.0000963
 1.370  1.0399534  0.0001043
 1.390  1.1786626  0.0001128
 1.410  1.3141073  0.0001236
 1.430  1.4344395  0.0001288
 1.450  1.5302761  0.0001314
 1.470  1.5969911  0.0001329
 1.490  1.6335800  0.0001291
 1.510  1.6370392  0.0001244
 1.530  1.5980766  0.0001177
 1.550  1.5287597  0.0001125
 1.570  1.4432294  0.0001073
 1.590  1.3499337  0.0001030
 1.610  1.2554456  0.0000991
 1.630  1.1633856  0.0000949
 1.650  1.0763569  0.0000920
 1.670  0.9957342  0.0000899
 1.690  0.9220556  0.0000857
 1.710  0.8555339  0.0000825
 1.730  0.7960789  0.0000788
 1.750  0.7434270  0.0000796
 1.770  0.6973131  0.0000755
 1.790  0.6570315  0.0000738
 1.810  0.6223239  0.0000726
 1.830  0.5926418  0.0000721
 1.850  0.5677891  0.0000700
 1.870  0.5471916  0.0000686
 1.890  0.5308265  0.0000670
 1.910  0.5182439  0.0000676
 1.930  0.5094053  0.0000668
 1.950  0.5040564  0.0000673
 1.970  0.5021350  0.0000661
 1.990  0.5035568  0.0000651
 2.010  0.5082523  0.0000675
 2.030  0.5163805  0.0000668
 2.050  0.5279199  0.0000689
 2.070  0.5429491  0.0000690
 2.090  0.5614813  0.0000706
 2.110  0.5838356  0.0000710
 2.130  0.6098160  0.0000717
 2.150  0.6395524  0.0000757
 2.170  0.6730582  0.0000776
 2.190  0.7100864  0.0000798
 2.210  0.7503324  0.0000822
 2.230  0.7933815  0.0000861
 2.250  0.8383026  0.0000885
 2.270  0.8842634  0.0000905
 2.290  0.9300136  0.0000924
 2.310  0.9740436  0.0000967
 2.330  1.0150660  0.0000985
 2.350  1.0514068  0.0001014
 2.370  1.0820352  0.0001015
 2.390  1.1056753  0.0001021
 2.410  1.1215549  0.0001032
 2.430  1.1294599  0.0001020
 2.450  1.1295752  0.0000997
 2.470  1.1219692  0.0000990
 2.490  1.1076667  0.0000965
 2.510  1.0875251  0.0000955
 2.530  1.0625009  0.0000924
 2.550  1.0337889  0.0000917
 2.570  1.0025720  0.0000907
 2.590  0.9700941  0.0000894
 2.610  0.9371064  0.0000878
 2.630  0.9045206  0.0000853
 2.650  0.8730715  0.0000833
 2.670  0.8429641  0.0000824
