% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.38667410(0.00000088)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  0.9220041  0.0000301
 0.530  0.8819810  0.0000280
 0.550  0.8439935  0.0000260
 0.570  0.8079628  0.0000245
 0.590  0.7738412  0.0000229
 0.610  0.7415276  0.0000216
 0.630  0.7109611  0.0000202
 0.650  0.6820666  0.0000192
 0.670  0.6547704  0.0000184
 0.690  0.6290100  0.0000175
 0.710  0.6047003  0.0000167
 0.730  0.5818042  0.0000159
 0.750  0.5602129  0.0000155
 0.770  0.5399291  0.0000150
 0.790  0.5208434  0.0000144
 0.810  0.5029307  0.0000138
 0.830  0.4861068  0.0000137
 0.850  0.4703571  0.0000132
 0.870  0.4556214  0.0000129
 0.890  0.4418526  0.0000124
 0.910  0.4290141  0.0000121
 0.930  0.4170710  0.0000120
 0.950  0.4059795  0.0000117
 0.970  0.3957064  0.0000115
 0.990  0.3862190  0.0000113
 1.010  0.3775047  0.0000113
 1.030  0.3695065  0.0000110
 1.050  0.3622474  0.0000110
 1.070  0.3556591  0.0000108
 1.090  0.3497623  0.0000108
 1.110  0.3445111  0.0000107
 1.130  0.3399084  0.0000106
 1.150  0.3359383  0.0000104
 1.170  0.3326057  0.0000105
 1.190  0.3298861  0.0000104
 1.210  0.3277820  0.0000105
 1.230  0.3263145  0.0000105
 1.250  0.3254478  0.0000103
 1.270  0.3252243  0.0000103
 1.290  0.3256283  0.0000104
 1.310  0.3266714  0.0000105
 1.330  0.3283726  0.0000105
 1.350  0.3307401  0.0000106
 1.370  0.3337960  0.0000104
 1.390  0.3375372  0.0000107
 1.410  0.3419919  0.0000109
 1.430  0.3471405  0.0000110
 1.450  0.3529588  0.0000112
 1.470  0.3594645  0.0000115
 1.490  0.3666090  0.0000119
 1.510  0.3741087  0.0000119
 1.530  0.3808971  0.0000120
 1.550  0.3867457  0.0000122
 1.570  0.3917618  0.0000124
 1.590  0.3959825  0.0000125
 1.610  0.3994937  0.0000127
 1.630  0.4023412  0.0000128
 1.650  0.4045999  0.0000126
 1.670  0.4063181  0.0000128
 1.690  0.4075395  0.0000125
 1.710  0.4083520  0.0000125
 1.730  0.4087531  0.0000126
 1.750  0.4088225  0.0000124
 1.770  0.4085997  0.0000125
 1.790  0.4081013  0.0000124
 1.810  0.4073651  0.0000125
 1.830  0.4064526  0.0000124
 1.850  0.4053803  0.0000124
 1.870  0.4041773  0.0000124
 1.890  0.4028551  0.0000125
 1.910  0.4014617  0.0000122
 1.930  0.4000143  0.0000122
 1.950  0.3985220  0.0000120
 1.970  0.3970069  0.0000121
 1.990  0.3954954  0.0000121
 2.010  0.3939970  0.0000120
 2.030  0.3925324  0.0000118
 2.050  0.3911086  0.0000119
 2.070  0.3897223  0.0000118
 2.090  0.3884191  0.0000117
 2.110  0.3871935  0.0000118
 2.130  0.3860429  0.0000118
 2.150  0.3849667  0.0000118
 2.170  0.3840058  0.0000116
 2.190  0.3831425  0.0000116
 2.210  0.3823744  0.0000116
 2.230  0.3817067  0.0000116
 2.250  0.3811644  0.0000114
 2.270  0.3807209  0.0000115
 2.290  0.3803950  0.0000116
 2.310  0.3801673  0.0000115
 2.330  0.3800360  0.0000114
 2.350  0.3800231  0.0000117
 2.370  0.3800983  0.0000115
 2.390  0.3802784  0.0000114
 2.410  0.3805228  0.0000115
 2.430  0.3808400  0.0000117
 2.450  0.3812413  0.0000117
 2.470  0.3816821  0.0000117
 2.490  0.3821807  0.0000118
 2.510  0.3826913  0.0000118
 2.530  0.3832241  0.0000118
 2.550  0.3837721  0.0000119
 2.570  0.3843218  0.0000117
 2.590  0.3848392  0.0000119
 2.610  0.3853469  0.0000118
 2.630  0.3858368  0.0000118
 2.650  0.3862781  0.0000118
 2.670  0.3866821  0.0000117
 2.690  0.3870720  0.0000118
 2.710  0.3874132  0.0000120
 2.730  0.3877116  0.0000117
 2.750  0.3879722  0.0000119
 2.770  0.3881817  0.0000119
 2.790  0.3883592  0.0000120
 2.810  0.3885033  0.0000118
 2.830  0.3886157  0.0000118
 2.850  0.3886826  0.0000120
 2.870  0.3887187  0.0000119
 2.890  0.3887250  0.0000120
 2.910  0.3886991  0.0000116
 2.930  0.3886522  0.0000119
 2.950  0.3885825  0.0000120
 2.970  0.3884861  0.0000117
 2.990  0.3883868  0.0000118
 3.010  0.3882577  0.0000118
 3.030  0.3881301  0.0000117
 3.050  0.3879944  0.0000117
 3.070  0.3878482  0.0000117
 3.090  0.3876972  0.0000119
 3.110  0.3875406  0.0000116
 3.130  0.3873845  0.0000119
 3.150  0.3872310  0.0000116
 3.170  0.3870935  0.0000117
 3.190  0.3869369  0.0000118
 3.210  0.3868068  0.0000119
 3.230  0.3866857  0.0000119
 3.250  0.3865777  0.0000119
 3.270  0.3864620  0.0000118
 3.290  0.3863648  0.0000115
 3.310  0.3862914  0.0000118
 3.330  0.3862211  0.0000118
 3.350  0.3861582  0.0000114
 3.370  0.3861034  0.0000117
 3.390  0.3860768  0.0000118
 3.410  0.3860506  0.0000118
 3.430  0.3860346  0.0000119
 3.450  0.3860338  0.0000118
 3.470  0.3860442  0.0000116
 3.490  0.3860482  0.0000117
 3.510  0.3860805  0.0000116
 3.530  0.3861027  0.0000117
 3.550  0.3861429  0.0000116
 3.570  0.3861903  0.0000120
 3.590  0.3862246  0.0000117
 3.610  0.3862711  0.0000118
 3.630  0.3863201  0.0000118
 3.650  0.3863772  0.0000117
 3.670  0.3864192  0.0000117
 3.690  0.3864603  0.0000118
