% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.63805150(0.00000232)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  2.8852173  0.0001302
 0.530  2.5785837  0.0001084
 0.550  2.3085408  0.0000913
 0.570  2.0706208  0.0000786
 0.590  1.8609535  0.0000706
 0.610  1.6761104  0.0000623
 0.630  1.5131199  0.0000573
 0.650  1.3692812  0.0000526
 0.670  1.2423294  0.0000485
 0.690  1.1301682  0.0000450
 0.710  1.0310885  0.0000425
 0.730  0.9435204  0.0000417
 0.750  0.8660932  0.0000395
 0.770  0.7976483  0.0000375
 0.790  0.7371064  0.0000360
 0.810  0.6835731  0.0000353
 0.830  0.6362776  0.0000337
 0.850  0.5945167  0.0000331
 0.870  0.5576962  0.0000322
 0.890  0.5252973  0.0000313
 0.910  0.4968670  0.0000305
 0.930  0.4720446  0.0000298
 0.950  0.4504518  0.0000290
 0.970  0.4317885  0.0000289
 0.990  0.4158460  0.0000280
 1.010  0.4024570  0.0000282
 1.030  0.3914032  0.0000275
 1.050  0.3825367  0.0000271
 1.070  0.3758209  0.0000273
 1.090  0.3710924  0.0000270
 1.110  0.3683974  0.0000266
 1.130  0.3676898  0.0000270
 1.150  0.3689659  0.0000268
 1.170  0.3722378  0.0000273
 1.190  0.3776647  0.0000274
 1.210  0.3852477  0.0000272
 1.230  0.3951181  0.0000277
 1.250  0.4074970  0.0000282
 1.270  0.4224598  0.0000285
 1.290  0.4402895  0.0000296
 1.310  0.4611687  0.0000307
 1.330  0.4853364  0.0000318
 1.350  0.5129677  0.0000331
 1.370  0.5441480  0.0000344
 1.390  0.5788108  0.0000360
 1.410  0.6164340  0.0000371
 1.430  0.6562336  0.0000389
 1.450  0.6972526  0.0000401
 1.470  0.7386662  0.0000425
 1.490  0.7795296  0.0000440
 1.510  0.8171038  0.0000454
 1.530  0.8436237  0.0000463
 1.550  0.8592286  0.0000456
 1.570  0.8658811  0.0000442
 1.590  0.8654497  0.0000444
 1.610  0.8594618  0.0000439
 1.630  0.8492147  0.0000432
 1.650  0.8356497  0.0000423
 1.670  0.8197385  0.0000414
 1.690  0.8022446  0.0000411
 1.710  0.7837277  0.0000399
 1.730  0.7646355  0.0000384
 1.750  0.7454813  0.0000380
 1.770  0.7265257  0.0000377
 1.790  0.7080011  0.0000369
 1.810  0.6901258  0.0000365
 1.830  0.6730777  0.0000352
 1.850  0.6569113  0.0000353
 1.870  0.6417655  0.0000349
 1.890  0.6277091  0.0000340
 1.910  0.6147533  0.0000338
 1.930  0.6029832  0.0000344
 1.950  0.5924066  0.0000333
 1.970  0.5829689  0.0000336
 1.990  0.5747400  0.0000332
 2.010  0.5677416  0.0000328
 2.030  0.5618668  0.0000321
 2.050  0.5571918  0.0000323
 2.070  0.5536616  0.0000324
 2.090  0.5513853  0.0000327
 2.110  0.5501371  0.0000328
 2.130  0.5500620  0.0000330
 2.150  0.5510561  0.0000329
 2.170  0.5531842  0.0000324
 2.190  0.5562975  0.0000333
 2.210  0.5604316  0.0000332
 2.230  0.5655531  0.0000332
 2.250  0.5715241  0.0000336
 2.270  0.5783546  0.0000340
 2.290  0.5859503  0.0000345
 2.310  0.5941130  0.0000344
 2.330  0.6028887  0.0000349
 2.350  0.6120169  0.0000350
 2.370  0.6213603  0.0000363
 2.390  0.6307764  0.0000362
 2.410  0.6400819  0.0000364
 2.430  0.6490615  0.0000363
 2.450  0.6575817  0.0000367
 2.470  0.6654428  0.0000376
 2.490  0.6724781  0.0000380
 2.510  0.6784778  0.0000388
 2.530  0.6834613  0.0000377
 2.550  0.6871745  0.0000379
 2.570  0.6897570  0.0000373
 2.590  0.6912371  0.0000378
 2.610  0.6915763  0.0000379
 2.630  0.6909362  0.0000379
 2.650  0.6894258  0.0000377
 2.670  0.6870858  0.0000368
 2.690  0.6841240  0.0000374
 2.710  0.6805359  0.0000363
 2.730  0.6765360  0.0000370
 2.750  0.6721865  0.0000366
 2.770  0.6675400  0.0000363
 2.790  0.6627779  0.0000361
 2.810  0.6579286  0.0000357
 2.830  0.6530735  0.0000360
 2.850  0.6482944  0.0000366
 2.870  0.6436756  0.0000357
