% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.79231789(0.00000354)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 4.110  0.7755622  0.0000675
 4.130  0.7813122  0.0000680
 4.150  0.7871751  0.0000680
 4.170  0.7928478  0.0000672
 4.190  0.7983918  0.0000671
 4.210  0.8036934  0.0000691
 4.230  0.8086491  0.0000691
 4.250  0.8131034  0.0000701
 4.270  0.8171056  0.0000690
 4.290  0.8204933  0.0000706
 4.310  0.8232218  0.0000709
 4.330  0.8252817  0.0000696
 4.350  0.8266991  0.0000694
 4.370  0.8274705  0.0000691
 4.390  0.8275926  0.0000696
 4.410  0.8269360  0.0000687
 4.430  0.8258163  0.0000683
 4.450  0.8241282  0.0000696
 4.470  0.8218737  0.0000692
 4.490  0.8191565  0.0000691
 4.510  0.8162075  0.0000674
 4.530  0.8128123  0.0000678
 4.550  0.8092609  0.0000688
 4.570  0.8055604  0.0000687
 4.590  0.8017718  0.0000678
 4.610  0.7980253  0.0000682
 4.630  0.7942228  0.0000700
 4.650  0.7906943  0.0000665
 4.670  0.7872449  0.0000673
 4.690  0.7839121  0.0000678
 4.710  0.7810416  0.0000663
 4.730  0.7783719  0.0000664
 4.750  0.7761174  0.0000663
 4.770  0.7741277  0.0000671
 4.790  0.7725674  0.0000661
 4.810  0.7713428  0.0000661
 4.830  0.7705557  0.0000648
 4.850  0.7701649  0.0000657
 4.870  0.7701578  0.0000664
 4.890  0.7704346  0.0000671
 4.910  0.7711577  0.0000657
 4.930  0.7722797  0.0000653
 4.950  0.7736442  0.0000676
 4.970  0.7752194  0.0000678
 4.990  0.7770849  0.0000665
 5.010  0.7790815  0.0000672
 5.030  0.7813824  0.0000679
 5.050  0.7836589  0.0000673
 5.070  0.7860979  0.0000675
 5.090  0.7885008  0.0000685
 5.110  0.7909621  0.0000671
 5.130  0.7932946  0.0000680
 5.150  0.7956082  0.0000681
 5.170  0.7977256  0.0000691
 5.190  0.7997157  0.0000674
 5.210  0.8014410  0.0000688
 5.230  0.8030365  0.0000685
 5.250  0.8043566  0.0000679
 5.270  0.8054045  0.0000685
 5.290  0.8061402  0.0000675
 5.310  0.8067087  0.0000686
 5.330  0.8069757  0.0000689
 5.350  0.8069115  0.0000686
 5.370  0.8066394  0.0000679
 5.390  0.8060801  0.0000694
 5.410  0.8053332  0.0000680
 5.430  0.8043876  0.0000679
 5.450  0.8032724  0.0000680
 5.470  0.8019928  0.0000679
 5.490  0.8006239  0.0000674
 5.510  0.7991319  0.0000675
 5.530  0.7975528  0.0000681
 5.550  0.7960208  0.0000687
 5.570  0.7944373  0.0000665
 5.590  0.7928479  0.0000673
 5.610  0.7913576  0.0000675
 5.630  0.7899415  0.0000673
 5.650  0.7885535  0.0000673
 5.670  0.7873230  0.0000664
 5.690  0.7862355  0.0000660
 5.710  0.7852709  0.0000671
 5.730  0.7845249  0.0000656
 5.750  0.7838627  0.0000663
