% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.92632573(0.00000508)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  9.5085215  0.0005249
 0.530  7.1965424  0.0003714
 0.550  5.4695773  0.0002867
 0.570  4.1763345  0.0002364
 0.590  3.2055394  0.0002032
 0.610  2.4747737  0.0001815
 0.630  1.9233247  0.0001617
 0.650  1.5061711  0.0001484
 0.670  1.1895546  0.0001310
 0.690  0.9480296  0.0001186
 0.710  0.7633289  0.0001098
 0.730  0.6214745  0.0000994
 0.750  0.5119581  0.0000912
 0.770  0.4269464  0.0000849
 0.790  0.3607387  0.0000785
 0.810  0.3089065  0.0000736
 0.830  0.2681527  0.0000691
 0.850  0.2361588  0.0000659
 0.870  0.2108035  0.0000627
 0.890  0.1909380  0.0000603
 0.910  0.1754749  0.0000586
 0.930  0.1635202  0.0000568
 0.950  0.1547240  0.0000567
 0.970  0.1486098  0.0000543
 0.990  0.1449175  0.0000546
 1.010  0.1435480  0.0000549
 1.030  0.1445757  0.0000562
 1.050  0.1480658  0.0000575
 1.070  0.1542855  0.0000596
 1.090  0.1636697  0.0000618
 1.110  0.1769011  0.0000640
 1.130  0.1946660  0.0000681
 1.150  0.2183139  0.0000723
 1.170  0.2495754  0.0000774
 1.190  0.2907133  0.0000845
 1.210  0.3448619  0.0000901
 1.230  0.4157765  0.0000991
 1.250  0.5080359  0.0001093
 1.270  0.6266881  0.0001216
 1.290  0.7770587  0.0001304
 1.310  0.9653073  0.0001449
 1.330  1.1952852  0.0001618
 1.350  1.4657480  0.0001844
 1.370  1.7630048  0.0002094
 1.390  2.0543198  0.0002346
 1.410  2.2913112  0.0002501
 1.430  2.4376672  0.0002510
 1.450  2.4821295  0.0002456
 1.470  2.4339951  0.0002304
 1.490  2.3137583  0.0002154
 1.510  2.1425821  0.0001966
 1.530  1.9351913  0.0001840
 1.550  1.7185962  0.0001722
 1.570  1.5111039  0.0001591
 1.590  1.3218211  0.0001541
 1.610  1.1543861  0.0001449
 1.630  1.0091938  0.0001351
 1.650  0.8851366  0.0001273
 1.670  0.7801803  0.0001211
 1.690  0.6921452  0.0001138
 1.710  0.6185416  0.0001084
 1.730  0.5575265  0.0001037
 1.750  0.5071413  0.0001001
 1.770  0.4659245  0.0000967
 1.790  0.4326475  0.0000944
 1.810  0.4060803  0.0000918
 1.830  0.3855735  0.0000916
 1.850  0.3702265  0.0000891
 1.870  0.3598966  0.0000882
 1.890  0.3540766  0.0000892
 1.910  0.3524925  0.0000897
 1.930  0.3552707  0.0000907
 1.950  0.3623622  0.0000915
 1.970  0.3741129  0.0000930
 1.990  0.3907819  0.0000942
 2.010  0.4128151  0.0000977
 2.030  0.4410310  0.0001020
 2.050  0.4760308  0.0001067
 2.070  0.5187588  0.0001105
 2.090  0.5700739  0.0001168
 2.110  0.6309339  0.0001207
 2.130  0.7020055  0.0001276
 2.150  0.7835906  0.0001334
 2.170  0.8756151  0.0001431
 2.190  0.9771089  0.0001503
 2.210  1.0856897  0.0001592
 2.230  1.1986416  0.0001676
 2.250  1.3105209  0.0001828
 2.270  1.4156030  0.0001855
 2.290  1.5075511  0.0001895
 2.310  1.5802604  0.0001977
 2.330  1.6290469  0.0001998
 2.350  1.6517263  0.0001958
 2.370  1.6477514  0.0001948
 2.390  1.6195662  0.0001868
 2.410  1.5702066  0.0001818
 2.430  1.5043102  0.0001757
 2.450  1.4267490  0.0001684
 2.470  1.3420389  0.0001598
 2.490  1.2544894  0.0001548
 2.510  1.1675851  0.0001465
 2.530  1.0834688  0.0001425
 2.550  1.0043812  0.0001401
 2.570  0.9315555  0.0001363
 2.590  0.8654010  0.0001281
 2.610  0.8063532  0.0001255
 2.630  0.7544236  0.0001213
 2.650  0.7093147  0.0001198
 2.670  0.6706741  0.0001157
 2.690  0.6380841  0.0001143
 2.710  0.6112556  0.0001126
 2.730  0.5897483  0.0001100
 2.750  0.5732784  0.0001100
 2.770  0.5614825  0.0001084
 2.790  0.5544100  0.0001081
 2.810  0.5515490  0.0001069
 2.830  0.5530781  0.0001100
 2.850  0.5588972  0.0001103
 2.870  0.5689645  0.0001103
 2.890  0.5834495  0.0001102
 2.910  0.6025136  0.0001121
 2.930  0.6261380  0.0001140
 2.950  0.6544900  0.0001180
 2.970  0.6876615  0.0001217
 2.990  0.7257590  0.0001239
 3.010  0.7685615  0.0001264
 3.030  0.8157578  0.0001320
 3.050  0.8667501  0.0001351
 3.070  0.9208826  0.0001422
 3.090  0.9770685  0.0001449
 3.110  1.0337377  0.0001501
 3.130  1.0895319  0.0001553
