% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.05151651(0.00000003)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 0.510  0.0573676  0.0000007
 0.530  0.0571677  0.0000006
 0.550  0.0569685  0.0000006
 0.570  0.0567705  0.0000006
 0.590  0.0565742  0.0000006
 0.610  0.0563794  0.0000006
 0.630  0.0561856  0.0000006
 0.650  0.0559946  0.0000006
 0.670  0.0558051  0.0000006
 0.690  0.0556178  0.0000006
 0.710  0.0554331  0.0000006
 0.730  0.0552501  0.0000006
 0.750  0.0550699  0.0000006
 0.770  0.0548930  0.0000005
 0.790  0.0547180  0.0000006
 0.810  0.0545468  0.0000005
 0.830  0.0543783  0.0000006
 0.850  0.0542132  0.0000005
 0.870  0.0540513  0.0000005
 0.890  0.0538927  0.0000006
 0.910  0.0537385  0.0000005
 0.930  0.0535876  0.0000005
 0.950  0.0534402  0.0000005
 0.970  0.0532972  0.0000005
 0.990  0.0531582  0.0000005
 1.010  0.0530233  0.0000005
 1.030  0.0528928  0.0000005
 1.050  0.0527669  0.0000005
 1.070  0.0526457  0.0000005
 1.090  0.0525290  0.0000005
 1.110  0.0524173  0.0000005
 1.130  0.0523106  0.0000005
 1.150  0.0522089  0.0000005
 1.170  0.0521122  0.0000005
 1.190  0.0520212  0.0000005
 1.210  0.0519356  0.0000005
 1.230  0.0518552  0.0000005
 1.250  0.0517810  0.0000005
 1.270  0.0517117  0.0000005
 1.290  0.0516493  0.0000005
 1.310  0.0515928  0.0000005
 1.330  0.0515420  0.0000005
 1.350  0.0514983  0.0000005
 1.370  0.0514604  0.0000005
 1.390  0.0514290  0.0000005
 1.410  0.0514046  0.0000005
 1.430  0.0513873  0.0000005
 1.450  0.0513768  0.0000005
 1.470  0.0513731  0.0000005
 1.490  0.0513766  0.0000005
 1.510  0.0513868  0.0000005
 1.530  0.0513971  0.0000005
 1.550  0.0514069  0.0000005
 1.570  0.0514164  0.0000005
 1.590  0.0514249  0.0000005
 1.610  0.0514332  0.0000005
 1.630  0.0514408  0.0000005
 1.650  0.0514483  0.0000005
 1.670  0.0514552  0.0000005
 1.690  0.0514616  0.0000005
 1.710  0.0514675  0.0000005
 1.730  0.0514731  0.0000005
 1.750  0.0514783  0.0000005
 1.770  0.0514833  0.0000005
 1.790  0.0514873  0.0000005
 1.810  0.0514913  0.0000005
 1.830  0.0514954  0.0000005
 1.850  0.0514988  0.0000005
 1.870  0.0515015  0.0000005
 1.890  0.0515044  0.0000005
 1.910  0.0515068  0.0000005
 1.930  0.0515094  0.0000005
 1.950  0.0515110  0.0000005
 1.970  0.0515124  0.0000005
 1.990  0.0515140  0.0000005
 2.010  0.0515152  0.0000005
 2.030  0.0515162  0.0000005
 2.050  0.0515174  0.0000005
 2.070  0.0515183  0.0000005
 2.090  0.0515185  0.0000005
 2.110  0.0515190  0.0000005
 2.130  0.0515194  0.0000005
 2.150  0.0515200  0.0000005
 2.170  0.0515198  0.0000005
 2.190  0.0515198  0.0000005
 2.210  0.0515199  0.0000005
 2.230  0.0515199  0.0000005
 2.250  0.0515198  0.0000005
 2.270  0.0515197  0.0000005
 2.290  0.0515194  0.0000005
 2.310  0.0515193  0.0000005
 2.330  0.0515188  0.0000005
 2.350  0.0515189  0.0000005
 2.370  0.0515186  0.0000005
 2.390  0.0515182  0.0000005
 2.410  0.0515184  0.0000005
 2.430  0.0515179  0.0000005
 2.450  0.0515177  0.0000005
 2.470  0.0515178  0.0000005
 2.490  0.0515177  0.0000005
 2.510  0.0515169  0.0000005
 2.530  0.0515174  0.0000005
 2.550  0.0515169  0.0000005
 2.570  0.0515169  0.0000005
 2.590  0.0515168  0.0000005
 2.610  0.0515169  0.0000005
 2.630  0.0515167  0.0000005
 2.650  0.0515167  0.0000005
 2.670  0.0515166  0.0000005
 2.690  0.0515165  0.0000005
 2.710  0.0515166  0.0000005
 2.730  0.0515165  0.0000005
 2.750  0.0515163  0.0000005
 2.770  0.0515159  0.0000005
 2.790  0.0515165  0.0000005
 2.810  0.0515161  0.0000005
 2.830  0.0515159  0.0000005
 2.850  0.0515159  0.0000005
 2.870  0.0515160  0.0000005
 2.890  0.0515162  0.0000005
 2.910  0.0515162  0.0000005
 2.930  0.0515163  0.0000005
 2.950  0.0515161  0.0000005
 2.970  0.0515164  0.0000005
 2.990  0.0515163  0.0000005
 3.010  0.0515164  0.0000005
 3.030  0.0515163  0.0000005
 3.050  0.0515161  0.0000005
 3.070  0.0515160  0.0000005
 3.090  0.0515165  0.0000005
 3.110  0.0515163  0.0000005
 3.130  0.0515162  0.0000005
 3.150  0.0515163  0.0000005
 3.170  0.0515167  0.0000005
 3.190  0.0515165  0.0000005
 3.210  0.0515164  0.0000005
 3.230  0.0515166  0.0000005
 3.250  0.0515167  0.0000005
 3.270  0.0515168  0.0000005
 3.290  0.0515165  0.0000005
 3.310  0.0515165  0.0000005
 3.330  0.0515164  0.0000005
 3.350  0.0515160  0.0000005
 3.370  0.0515165  0.0000005
 3.390  0.0515165  0.0000005
 3.410  0.0515160  0.0000005
 3.430  0.0515165  0.0000005
 3.450  0.0515165  0.0000005
 3.470  0.0515165  0.0000005
 3.490  0.0515165  0.0000005
 3.510  0.0515163  0.0000005
 3.530  0.0515162  0.0000005
 3.550  0.0515164  0.0000005
 3.570  0.0515165  0.0000005
 3.590  0.0515167  0.0000005
 3.610  0.0515161  0.0000005
 3.630  0.0515162  0.0000005
 3.650  0.0515162  0.0000005
 3.670  0.0515164  0.0000005
 3.690  0.0515163  0.0000005
 3.710  0.0515162  0.0000005
 3.730  0.0515163  0.0000005
 3.750  0.0515161  0.0000005
 3.770  0.0515160  0.0000005
 3.790  0.0515163  0.0000005
 3.810  0.0515165  0.0000005
 3.830  0.0515163  0.0000005
 3.850  0.0515165  0.0000005
 3.870  0.0515158  0.0000005
 3.890  0.0515162  0.0000005
 3.910  0.0515161  0.0000005
 3.930  0.0515162  0.0000005
 3.950  0.0515163  0.0000005
 3.970  0.0515165  0.0000005
 3.990  0.0515161  0.0000005
 4.010  0.0515163  0.0000005
 4.030  0.0515163  0.0000005
 4.050  0.0515164  0.0000005
 4.070  0.0515165  0.0000005
 4.090  0.0515166  0.0000005
 4.110  0.0515165  0.0000005
 4.130  0.0515164  0.0000005
 4.150  0.0515162  0.0000005
 4.170  0.0515163  0.0000005
 4.190  0.0515161  0.0000005
 4.210  0.0515165  0.0000005
 4.230  0.0515165  0.0000005
 4.250  0.0515164  0.0000005
 4.270  0.0515165  0.0000005
 4.290  0.0515162  0.0000005
 4.310  0.0515166  0.0000005
 4.330  0.0515162  0.0000005
 4.350  0.0515160  0.0000005
 4.370  0.0515162  0.0000005
 4.390  0.0515165  0.0000005
 4.410  0.0515162  0.0000005
 4.430  0.0515163  0.0000005
 4.450  0.0515165  0.0000005
 4.470  0.0515163  0.0000005
 4.490  0.0515163  0.0000005
 4.510  0.0515162  0.0000005
 4.530  0.0515159  0.0000005
 4.550  0.0515164  0.0000005
 4.570  0.0515161  0.0000005
 4.590  0.0515164  0.0000005
 4.610  0.0515160  0.0000005
 4.630  0.0515164  0.0000005
 4.650  0.0515164  0.0000005
 4.670  0.0515164  0.0000005
 4.690  0.0515164  0.0000005
 4.710  0.0515163  0.0000005
 4.730  0.0515167  0.0000005
 4.750  0.0515162  0.0000005
 4.770  0.0515162  0.0000005
 4.790  0.0515164  0.0000005
 4.810  0.0515162  0.0000005
 4.830  0.0515161  0.0000005
 4.850  0.0515164  0.0000005
 4.870  0.0515163  0.0000005
 4.890  0.0515162  0.0000005
 4.910  0.0515161  0.0000005
 4.930  0.0515161  0.0000005
 4.950  0.0515161  0.0000005
 4.970  0.0515161  0.0000005
 4.990  0.0515164  0.0000005
 5.010  0.0515164  0.0000005
 5.030  0.0515165  0.0000005
 5.050  0.0515162  0.0000005
 5.070  0.0515164  0.0000005
 5.090  0.0515162  0.0000005
 5.110  0.0515166  0.0000005
 5.130  0.0515168  0.0000005
 5.150  0.0515166  0.0000005
 5.170  0.0515167  0.0000005
 5.190  0.0515164  0.0000005
 5.210  0.0515166  0.0000005
 5.230  0.0515165  0.0000005
 5.250  0.0515164  0.0000005
 5.270  0.0515165  0.0000005
 5.290  0.0515165  0.0000005
 5.310  0.0515166  0.0000005
 5.330  0.0515166  0.0000005
 5.350  0.0515166  0.0000005
 5.370  0.0515164  0.0000005
 5.390  0.0515167  0.0000005
 5.410  0.0515165  0.0000005
 5.430  0.0515164  0.0000005
 5.450  0.0515164  0.0000005
 5.470  0.0515165  0.0000005
 5.490  0.0515168  0.0000005
 5.510  0.0515164  0.0000005
 5.530  0.0515167  0.0000004
 5.550  0.0515168  0.0000005
 5.570  0.0515168  0.0000005
 5.590  0.0515164  0.0000005
 5.610  0.0515163  0.0000005
 5.630  0.0515167  0.0000005
 5.650  0.0515160  0.0000005
 5.670  0.0515163  0.0000005
 5.690  0.0515167  0.0000005
 5.710  0.0515160  0.0000005
 5.730  0.0515162  0.0000005
 5.750  0.0515162  0.0000005
 5.770  0.0515160  0.0000005
 5.790  0.0515163  0.0000005
 5.810  0.0515163  0.0000005
 5.830  0.0515162  0.0000005
 5.850  0.0515166  0.0000005
 5.870  0.0515160  0.0000005
 5.890  0.0515162  0.0000005
 5.910  0.0515159  0.0000005
 5.930  0.0515162  0.0000004
 5.950  0.0515164  0.0000005
 5.970  0.0515162  0.0000005
 5.990  0.0515165  0.0000005
 6.010  0.0515162  0.0000005
 6.030  0.0515163  0.0000005
 6.050  0.0515165  0.0000005
 6.070  0.0515161  0.0000005
 6.090  0.0515165  0.0000005
 6.110  0.0515165  0.0000005
 6.130  0.0515165  0.0000005
 6.150  0.0515162  0.0000005
 6.170  0.0515163  0.0000005
 6.190  0.0515162  0.0000005
 6.210  0.0515163  0.0000005
 6.230  0.0515162  0.0000005
 6.250  0.0515163  0.0000005
 6.270  0.0515165  0.0000005
 6.290  0.0515165  0.0000005
 6.310  0.0515167  0.0000005
 6.330  0.0515164  0.0000005
 6.350  0.0515163  0.0000005
 6.370  0.0515166  0.0000004
 6.390  0.0515166  0.0000005
 6.410  0.0515162  0.0000005
 6.430  0.0515165  0.0000004
 6.450  0.0515166  0.0000005
 6.470  0.0515165  0.0000005
 6.490  0.0515166  0.0000004
 6.510  0.0515166  0.0000005
 6.530  0.0515167  0.0000005
 6.550  0.0515167  0.0000005
 6.570  0.0515166  0.0000005
 6.590  0.0515166  0.0000005
 6.610  0.0515165  0.0000005
 6.630  0.0515165  0.0000005
 6.650  0.0515167  0.0000005
 6.670  0.0515167  0.0000005
 6.690  0.0515164  0.0000005
 6.710  0.0515164  0.0000005
 6.730  0.0515166  0.0000005
 6.750  0.0515164  0.0000005
 6.770  0.0515168  0.0000005
 6.790  0.0515165  0.0000004
 6.810  0.0515167  0.0000005
 6.830  0.0515165  0.0000005
 6.850  0.0515164  0.0000005
 6.870  0.0515165  0.0000005
 6.890  0.0515165  0.0000005
 6.910  0.0515164  0.0000005
 6.930  0.0515162  0.0000005
 6.950  0.0515166  0.0000005
 6.970  0.0515161  0.0000005
 6.990  0.0515163  0.0000005
 7.010  0.0515162  0.0000005
 7.030  0.0515165  0.0000005
 7.050  0.0515165  0.0000005
 7.070  0.0515166  0.0000005
 7.090  0.0515166  0.0000005
 7.110  0.0515164  0.0000005
 7.130  0.0515167  0.0000005
 7.150  0.0515166  0.0000005
 7.170  0.0515167  0.0000004
 7.190  0.0515164  0.0000004
 7.210  0.0515163  0.0000005
 7.230  0.0515166  0.0000005
 7.250  0.0515166  0.0000005
 7.270  0.0515168  0.0000005
 7.290  0.0515163  0.0000005
 7.310  0.0515162  0.0000004
 7.330  0.0515164  0.0000004
 7.350  0.0515160  0.0000004
 7.370  0.0515164  0.0000004
 7.390  0.0515160  0.0000005
 7.410  0.0515161  0.0000005
 7.430  0.0515160  0.0000004
 7.450  0.0515163  0.0000004
 7.470  0.0515163  0.0000005
 7.490  0.0515162  0.0000005
 7.510  0.0515160  0.0000004
 7.530  0.0515166  0.0000005
 7.550  0.0515161  0.0000005
 7.570  0.0515163  0.0000005
 7.590  0.0515161  0.0000005
 7.610  0.0515159  0.0000005
 7.630  0.0515163  0.0000005
 7.650  0.0515163  0.0000005
 7.670  0.0515165  0.0000005
 7.690  0.0515162  0.0000005
 7.710  0.0515165  0.0000005
 7.730  0.0515162  0.0000005
 7.750  0.0515163  0.0000005
 7.770  0.0515165  0.0000004
 7.790  0.0515161  0.0000004
 7.810  0.0515161  0.0000005
 7.830  0.0515165  0.0000004
 7.850  0.0515160  0.0000005
 7.870  0.0515166  0.0000005
 7.890  0.0515162  0.0000005
 7.910  0.0515162  0.0000005
 7.930  0.0515162  0.0000005
 7.950  0.0515163  0.0000005
 7.970  0.0515164  0.0000005
 7.990  0.0515162  0.0000005
 8.010  0.0515163  0.0000005
 8.030  0.0515165  0.0000005
 8.050  0.0515163  0.0000005
 8.070  0.0515168  0.0000005
 8.090  0.0515164  0.0000005
 8.110  0.0515166  0.0000004
 8.130  0.0515163  0.0000005
 8.150  0.0515169  0.0000005
 8.170  0.0515168  0.0000005
 8.190  0.0515164  0.0000005
 8.210  0.0515164  0.0000005
 8.230  0.0515166  0.0000005
 8.250  0.0515163  0.0000005
 8.270  0.0515167  0.0000005
 8.290  0.0515166  0.0000005
 8.310  0.0515167  0.0000005
 8.330  0.0515168  0.0000005
 8.350  0.0515167  0.0000005
 8.370  0.0515165  0.0000004
 8.390  0.0515167  0.0000005
 8.410  0.0515164  0.0000005
 8.430  0.0515169  0.0000004
 8.450  0.0515164  0.0000004
 8.470  0.0515169  0.0000005
 8.490  0.0515167  0.0000005
 8.510  0.0515169  0.0000005
 8.530  0.0515169  0.0000004
 8.550  0.0515168  0.0000005
 8.570  0.0515166  0.0000004
 8.590  0.0515168  0.0000005
 8.610  0.0515166  0.0000005
 8.630  0.0515166  0.0000005
 8.650  0.0515164  0.0000005
 8.670  0.0515164  0.0000005
 8.690  0.0515164  0.0000005
 8.710  0.0515164  0.0000005
 8.730  0.0515164  0.0000005
 8.750  0.0515163  0.0000005
 8.770  0.0515164  0.0000005
 8.790  0.0515165  0.0000005
 8.810  0.0515167  0.0000005
 8.830  0.0515168  0.0000005
 8.850  0.0515163  0.0000004
 8.870  0.0515168  0.0000005
 8.890  0.0515169  0.0000005
 8.910  0.0515164  0.0000005
 8.930  0.0515169  0.0000004
 8.950  0.0515165  0.0000005
 8.970  0.0515167  0.0000004
 8.990  0.0515166  0.0000005
 9.010  0.0515166  0.0000004
 9.030  0.0515168  0.0000004
 9.050  0.0515166  0.0000005
 9.070  0.0515167  0.0000005
 9.090  0.0515164  0.0000005
 9.110  0.0515163  0.0000005
 9.130  0.0515162  0.0000005
 9.150  0.0515165  0.0000004
 9.170  0.0515165  0.0000004
 9.190  0.0515167  0.0000005
 9.210  0.0515165  0.0000004
 9.230  0.0515160  0.0000005
 9.250  0.0515165  0.0000005
 9.270  0.0515160  0.0000005
 9.290  0.0515162  0.0000005
 9.310  0.0515160  0.0000005
 9.330  0.0515164  0.0000004
 9.350  0.0515160  0.0000005
 9.370  0.0515162  0.0000005
 9.390  0.0515160  0.0000004
 9.410  0.0515161  0.0000005
 9.430  0.0515160  0.0000005
 9.450  0.0515162  0.0000005
 9.470  0.0515166  0.0000005
 9.490  0.0515167  0.0000005
 9.510  0.0515164  0.0000005
 9.530  0.0515161  0.0000005
 9.550  0.0515164  0.0000005
 9.570  0.0515162  0.0000005
 9.590  0.0515165  0.0000005
 9.610  0.0515163  0.0000005
 9.630  0.0515164  0.0000004
 9.650  0.0515166  0.0000004
 9.670  0.0515165  0.0000004
 9.690  0.0515164  0.0000005
 9.710  0.0515167  0.0000004
 9.730  0.0515163  0.0000005
 9.750  0.0515164  0.0000004
 9.770  0.0515165  0.0000005
 9.790  0.0515167  0.0000005
 9.810  0.0515164  0.0000005
 9.830  0.0515168  0.0000005
 9.850  0.0515165  0.0000005
 9.870  0.0515162  0.0000005
 9.890  0.0515166  0.0000004
 9.910  0.0515164  0.0000005
 9.930  0.0515160  0.0000004
 9.950  0.0515163  0.0000005
 9.970  0.0515160  0.0000004
 9.990  0.0515163  0.0000004
10.010  0.0515163  0.0000004
10.030  0.0515162  0.0000005
10.050  0.0515164  0.0000005
10.070  0.0515165  0.0000005
10.090  0.0515166  0.0000005
10.110  0.0515162  0.0000005
10.130  0.0515164  0.0000005
10.150  0.0515159  0.0000005
10.170  0.0515162  0.0000004
10.190  0.0515162  0.0000005
10.210  0.0515164  0.0000005
10.230  0.0515162  0.0000004
10.250  0.0515166  0.0000005
10.270  0.0515163  0.0000005
10.290  0.0515163  0.0000005
10.310  0.0515169  0.0000005
10.330  0.0515166  0.0000004
10.350  0.0515165  0.0000005
10.370  0.0515165  0.0000004
10.390  0.0515163  0.0000005
10.410  0.0515161  0.0000005
10.430  0.0515162  0.0000004
10.450  0.0515164  0.0000004
10.470  0.0515163  0.0000005
10.490  0.0515164  0.0000005
10.510  0.0515165  0.0000005
10.530  0.0515163  0.0000005
10.550  0.0515164  0.0000005
10.570  0.0515164  0.0000005
10.590  0.0515164  0.0000005
10.610  0.0515164  0.0000004
10.630  0.0515166  0.0000005
10.650  0.0515165  0.0000005
10.670  0.0515164  0.0000004
10.690  0.0515166  0.0000005
10.710  0.0515165  0.0000005
10.730  0.0515165  0.0000005
10.750  0.0515164  0.0000005
10.770  0.0515163  0.0000005
